Gene,Non-unique Gene name,Annotation,USDA1021,WSM1022
group_2657,,hypothetical protein,USDA1021_06780,
group_2655,,hypothetical protein,USDA1021_04818,
group_2651,,hypothetical protein,USDA1021_03451,
group_2649,,hypothetical protein,USDA1021_00790,
group_2648,,hypothetical protein,,WSM1022_06239
group_2647,,hypothetical protein,,WSM1022_06233
group_2646,,hypothetical protein,,WSM1022_04747
group_2645,,hypothetical protein,,WSM1022_04572
group_2644,,hypothetical protein,,WSM1022_00707
group_2641,,hypothetical protein,USDA1021_04816,
group_2640,,hypothetical protein,USDA1021_04681,
group_2639,,hypothetical protein,USDA1021_04578,
group_2638,,hypothetical protein,USDA1021_03456,
group_2637,,hypothetical protein,USDA1021_02417,
group_2634,,hypothetical protein,USDA1021_01427,
group_2630,,hypothetical protein,USDA1021_00255,
doxA_2,doxA_2,Naphthalene 12-dioxygenase system ferredoxin component,,WSM1022_06296
group_2629,,hypothetical protein,,WSM1022_01537
gdx_1,gdx_1,Guanidinium exporter,,WSM1022_00198
group_2628,,hypothetical protein,USDA1021_05741,
group_2627,,hypothetical protein,USDA1021_05573,
group_2620,,hypothetical protein,USDA1021_00320,
group_2619,,hypothetical protein,USDA1021_00253,
group_2618,,hypothetical protein,,WSM1022_04562
group_2617,,hypothetical protein,,WSM1022_03902
cysC,cysC,Adenylyl-sulfate kinase,,WSM1022_03877
group_2616,,hypothetical protein,,WSM1022_03828
group_2615,,hypothetical protein,,WSM1022_01880
group_2614,,hypothetical protein,USDA1021_06677,
group_2613,,hypothetical protein,USDA1021_06068,
group_2611,,hypothetical protein,USDA1021_04044,
group_2610,,hypothetical protein,USDA1021_03475,
group_2609,,hypothetical protein,USDA1021_03421,
group_2604,,hypothetical protein,,WSM1022_06351
group_2603,,hypothetical protein,,WSM1022_00221
group_2600,,hypothetical protein,USDA1021_04687,
group_2598,,hypothetical protein,USDA1021_04548,
group_2596,,Thioredoxin C-1,USDA1021_03486,
group_2593,,hypothetical protein,USDA1021_01661,
group_2592,,hypothetical protein,USDA1021_01428,
group_2591,,hypothetical protein,USDA1021_01397,
virB3_1,virB3_1,Type IV secretion system protein virB3,,WSM1022_03863
group_2590,,hypothetical protein,USDA1021_05880,
group_2587,,hypothetical protein,USDA1021_04125,
group_2586,,hypothetical protein,USDA1021_02588,
group_2584,,hypothetical protein,,WSM1022_01523
group_2583,,hypothetical protein,USDA1021_05752,
group_2582,,hypothetical protein,USDA1021_03514,
group_2579,,hypothetical protein,USDA1021_01941,
group_2574,,hypothetical protein,,WSM1022_06290
group_2573,,hypothetical protein,,WSM1022_02684
group_2572,,hypothetical protein,USDA1021_06679,
group_2571,,hypothetical protein,USDA1021_05901,
group_2570,,hypothetical protein,USDA1021_03834,
group_2569,,hypothetical protein,USDA1021_03715,
group_2568,,hypothetical protein,USDA1021_03591,
tdiR_2,tdiR_2,Transcriptional regulatory protein TdiR,,WSM1022_04808
group_2563,,hypothetical protein,,WSM1022_03765
group_2562,,hypothetical protein,,WSM1022_03127
group_2561,,hypothetical protein,USDA1021_06079,
group_2560,,hypothetical protein,USDA1021_06077,
group_2557,,hypothetical protein,USDA1021_01639,
group_2552,,hypothetical protein,,WSM1022_04812
group_2551,,hypothetical protein,,WSM1022_03518
group_2550,,hypothetical protein,,WSM1022_01511
group_2546,,hypothetical protein,USDA1021_04190,
group_2545,,hypothetical protein,USDA1021_03427,
group_2543,,hypothetical protein,USDA1021_01439,
group_2541,,hypothetical protein,USDA1021_00372,
group_2540,,hypothetical protein,,WSM1022_04005
group_2538,,hypothetical protein,USDA1021_04751,
group_2535,,hypothetical protein,USDA1021_01667,
group_2531,,hypothetical protein,,WSM1022_06300
group_2530,,IS110 family transposase ISMno22,,WSM1022_03882
group_2529,,hypothetical protein,,WSM1022_01500
group_2528,,hypothetical protein,USDA1021_06089,
group_2525,,hypothetical protein,USDA1021_04408,
group_2524,,hypothetical protein,USDA1021_03718,
group_2523,,hypothetical protein,USDA1021_03485,
group_2521,,hypothetical protein,USDA1021_02563,
group_2518,,ISNCY family transposase ISRsp17,,WSM1022_03834
group_2517,,hypothetical protein,,WSM1022_03798
group_2516,,hypothetical protein,,WSM1022_01536
group_2515,,hypothetical protein,,WSM1022_00715
group_2512,,IS5 family transposase ISAzs9,USDA1021_04817,
group_2511,,hypothetical protein,USDA1021_04764,
group_2510,,hypothetical protein,USDA1021_04746,
group_2509,,hypothetical protein,USDA1021_04739,
group_2508,,hypothetical protein,USDA1021_04730,
group_2507,,hypothetical protein,USDA1021_04688,
fixT_2,fixT_2,Transcriptional regulator protein FixT,USDA1021_04668,
group_2506,,hypothetical protein,USDA1021_03843,
group_2504,,hypothetical protein,,WSM1022_04801
group_2503,,hypothetical protein,,WSM1022_03811
group_2502,,hypothetical protein,,WSM1022_00703
group_2501,,hypothetical protein,,WSM1022_00701
group_2500,,hypothetical protein,USDA1021_04759,
group_2498,,hypothetical protein,USDA1021_03691,
group_2496,,hypothetical protein,USDA1021_02574,
group_2494,,hypothetical protein,USDA1021_00484,
group_2492,,hypothetical protein,,WSM1022_02683
group_2491,,hypothetical protein,,WSM1022_00712
group_2490,,hypothetical protein,USDA1021_06705,
group_2489,,hypothetical protein,USDA1021_06111,
group_2488,,hypothetical protein,USDA1021_05736,
group_2484,,hypothetical protein,USDA1021_03631,
group_2483,,hypothetical protein,USDA1021_01418,
group_2482,,hypothetical protein,USDA1021_01415,
group_2476,,hypothetical protein,,WSM1022_03960
group_2475,,hypothetical protein,USDA1021_03462,
group_2472,,hypothetical protein,USDA1021_02585,
group_2471,,hypothetical protein,USDA1021_01629,
group_2470,,hypothetical protein,,WSM1022_05665
group_2469,,hypothetical protein,,WSM1022_04414
group_2468,,hypothetical protein,,WSM1022_03829
group_2465,,hypothetical protein,USDA1021_04197,
group_2464,,hypothetical protein,USDA1021_04031,
group_2459,,IS481 family transposase ISRm20,USDA1021_00457,
virB2_1,virB2_1,Protein virB2,,WSM1022_03862
group_2455,,hypothetical protein,,WSM1022_01879
group_2453,,hypothetical protein,USDA1021_04729,
group_2452,,hypothetical protein,USDA1021_03717,
group_2450,,hypothetical protein,USDA1021_02610,
group_2447,,hypothetical protein,,WSM1022_01881
group_2445,,hypothetical protein,USDA1021_05746,
group_2444,,hypothetical protein,USDA1021_05738,
group_2442,,hypothetical protein,USDA1021_03961,
group_2441,,hypothetical protein,USDA1021_03953,
group_2440,,hypothetical protein,USDA1021_01654,
group_2439,,hypothetical protein,USDA1021_01446,
group_2438,,hypothetical protein,USDA1021_01440,
group_2437,,hypothetical protein,USDA1021_01426,
group_2436,,hypothetical protein,USDA1021_01394,
group_2435,,hypothetical protein,USDA1021_01377,
vapC_1,vapC_1,tRNA(fMet)-specific endonuclease VapC,USDA1021_01125,
group_2434,,hypothetical protein,,WSM1022_04153
cysD_2,cysD_2,Sulfate adenylyltransferase subunit 2,,WSM1022_03875
group_2424,,hypothetical protein,USDA1021_01657,
group_2423,,hypothetical protein,USDA1021_01370,
group_2422,,hypothetical protein,USDA1021_00951,
group_2419,,hypothetical protein,USDA1021_00326,
group_2418,,hypothetical protein,,WSM1022_06236
group_2417,,hypothetical protein,,WSM1022_01513
group_2413,,hypothetical protein,USDA1021_04737,
group_2412,,hypothetical protein,USDA1021_04126,
pgrR_12,pgrR_12,HTH-type transcriptional regulator PgrR,USDA1021_04046,
group_2411,,hypothetical protein,USDA1021_01641,
group_2409,,hypothetical protein,,WSM1022_05284
group_2408,,hypothetical protein,,WSM1022_04575
group_2407,,hypothetical protein,,WSM1022_01972
group_2405,,hypothetical protein,USDA1021_05747,
group_2403,,IS30 family transposase ISRle2,USDA1021_03775,
group_2402,,hypothetical protein,USDA1021_03612,
group_2392,,hypothetical protein,USDA1021_04826,
group_2390,,hypothetical protein,USDA1021_03491,
group_2389,,hypothetical protein,USDA1021_03490,
group_2388,,IS5 family transposase ISRel13,USDA1021_03463,
group_2383,,hypothetical protein,,WSM1022_03766
tdiR,tdiR,Transcriptional regulatory protein TdiR,USDA1021_04757,
group_2378,,hypothetical protein,USDA1021_03948,
group_2377,,hypothetical protein,USDA1021_03914,
ropA_5,ropA_5,Outer membrane protein IIIA,,WSM1022_04806
acsA_4,acsA_4,Acetyl-coenzyme A synthetase,USDA1021_03922,
group_2370,,hypothetical protein,USDA1021_03702,
group_2369,,hypothetical protein,USDA1021_03532,
group_2365,,hypothetical protein,,WSM1022_04701
vapC_6,vapC_6,Ribonuclease VapC,USDA1021_05803,
group_2361,,Blue-light-activated protein,USDA1021_03958,
ectC,ectC,L-ectoine synthase,USDA1021_03648,
group_2352,,hypothetical protein,,WSM1022_04548
group_2351,,hypothetical protein,,WSM1022_01517
group_2350,,hypothetical protein,USDA1021_06070,
group_2346,,hypothetical protein,USDA1021_04692,
group_2344,,hypothetical protein,USDA1021_03869,
group_2337,,hypothetical protein,,WSM1022_01887
group_2336,,hypothetical protein,,WSM1022_00706
cckA_2,cckA_2,Sensor kinase CckA,USDA1021_05019,
group_2335,,hypothetical protein,USDA1021_04097,
group_2334,,hypothetical protein,USDA1021_03947,
group_2333,,hypothetical protein,USDA1021_03917,
group_2332,,RutC family protein,USDA1021_03901,
group_2331,,hypothetical protein,USDA1021_03516,
group_2330,,hypothetical protein,USDA1021_03449,
group_2328,,hypothetical protein,,WSM1022_04033
group_2327,,hypothetical protein,,WSM1022_01884
group_2322,,hypothetical protein,USDA1021_03845,
group_2317,,hypothetical protein,USDA1021_00305,
group_2315,,hypothetical protein,,WSM1022_04334
group_2314,,hypothetical protein,,WSM1022_00068
group_2313,,hypothetical protein,USDA1021_06106,
group_2311,,hypothetical protein,USDA1021_03100,
group_2310,,hypothetical protein,USDA1021_02587,
group_2307,,hypothetical protein,,WSM1022_05701
group_2306,,hypothetical protein,USDA1021_06691,
group_2304,,hypothetical protein,USDA1021_05884,
group_2302,,Ribonuclease VapC36,USDA1021_03582,
group_2301,,hypothetical protein,USDA1021_03446,
group_2300,,hypothetical protein,USDA1021_02592,
group_2295,,hypothetical protein,USDA1021_00278,
group_2294,,hypothetical protein,,WSM1022_06302
group_2293,,hypothetical protein,,WSM1022_00197
rnhA_2,rnhA_2,Ribonuclease HI,USDA1021_06087,
group_2292,,hypothetical protein,USDA1021_05891,
group_2286,,hypothetical protein,USDA1021_02599,
vapC_3,vapC_3,tRNA(fMet)-specific endonuclease VapC,USDA1021_02282,
group_2280,,hypothetical protein,USDA1021_00018,
group_2279,,hypothetical protein,,WSM1022_06242
fitB_2,fitB_2,Toxin FitB,,WSM1022_04820
group_2278,,hypothetical protein,,WSM1022_01965
group_2276,,hypothetical protein,USDA1021_06084,
group_2275,,hypothetical protein,USDA1021_05742,
group_2273,,hypothetical protein,USDA1021_02572,
group_2268,,hypothetical protein,,WSM1022_06365
group_2267,,hypothetical protein,,WSM1022_01385
group_2266,,hypothetical protein,USDA1021_06783,
cpdR_3,cpdR_3,Response regulator receiver protein CpdR,USDA1021_06072,
group_2265,,hypothetical protein,USDA1021_05733,
group_2262,,hypothetical protein,USDA1021_03965,
group_2261,,hypothetical protein,USDA1021_03721,
group_2260,,hypothetical protein,USDA1021_03539,
group_2259,,hypothetical protein,USDA1021_03505,
group_2253,,IS30 family transposase ISRle2,USDA1021_00795,
group_2251,,hypothetical protein,,WSM1022_04408
group_2250,,hypothetical protein,,WSM1022_03844
group_2249,,hypothetical protein,,WSM1022_03195
group_2248,,hypothetical protein,,WSM1022_01515
group_2247,,hypothetical protein,USDA1021_06085,
group_2246,,hypothetical protein,USDA1021_05740,
group_2242,,hypothetical protein,USDA1021_03842,
group_2241,,hypothetical protein,USDA1021_03704,
group_2237,,hypothetical protein,USDA1021_01386,
group_2234,,hypothetical protein,,WSM1022_05130
group_2230,ros_3,Transcriptional regulatory protein ros,USDA1021_04238,
group_2229,,hypothetical protein,USDA1021_04122,
group_2228,,hypothetical protein,USDA1021_03962,
group_2226,,hypothetical protein,,WSM1022_04792
group_2225,,hypothetical protein,,WSM1022_04745
group_2224,,hypothetical protein,,WSM1022_04004
fitB_1,fitB_1,Toxin FitB,,WSM1022_03662
group_2223,,hypothetical protein,,WSM1022_01990
group_2222,,hypothetical protein,,WSM1022_00708
group_2218,,hypothetical protein,USDA1021_03742,
group_2214,,hypothetical protein,USDA1021_01653,
group_2213,,hypothetical protein,USDA1021_01381,
group_2212,,hypothetical protein,USDA1021_00647,
group_2211,,hypothetical protein,USDA1021_00252,
group_2210,,IS256 family transposase ISRm5,,WSM1022_03999
group_2209,,hypothetical protein,,WSM1022_03799
group_2208,,hypothetical protein,USDA1021_04732,
group_2202,,hypothetical protein,,WSM1022_05787
group_2201,,hypothetical protein,,WSM1022_02500
group_2195,,hypothetical protein,USDA1021_03123,
group_2192,,hypothetical protein,USDA1021_01078,
ros_3,ros_3,Transcriptional regulatory protein ros,,WSM1022_04134
group_2189,,hypothetical protein,USDA1021_04684,
group_2186,,hypothetical protein,USDA1021_01438,
group_2185,,hypothetical protein,USDA1021_01411,
group_2184,,hypothetical protein,USDA1021_00256,
group_2183,,hypothetical protein,,WSM1022_03771
group_2182,,hypothetical protein,USDA1021_04559,
group_2181,COQ3_2,Ubiquinone biosynthesis O-methyltransferase mitochondrial,USDA1021_03840,
group_2179,,hypothetical protein,USDA1021_03550,
group_2176,,hypothetical protein,USDA1021_01443,
group_2173,,hypothetical protein,,WSM1022_01493
group_2172,,hypothetical protein,,WSM1022_01490
group_2171,,hypothetical protein,USDA1021_03756,
yqjF_2,yqjF_2,Inner membrane protein YqjF,USDA1021_03751,
group_2165,,hypothetical protein,USDA1021_00270,
group_2163,,hypothetical protein,,WSM1022_03953
group_2162,,hypothetical protein,,WSM1022_00709
group_2160,,hypothetical protein,USDA1021_05739,
group_2159,,hypothetical protein,USDA1021_03701,
group_2157,,hypothetical protein,USDA1021_03448,
group_2153,,hypothetical protein,USDA1021_01395,
group_2149,,hypothetical protein,USDA1021_04824,
group_2147,,hypothetical protein,USDA1021_03848,
group_2141,,hypothetical protein,,WSM1022_06238
group_2140,,hypothetical protein,,WSM1022_04589
bcp_2,bcp_2,Pseudoazurin,,WSM1022_04355
group_2139,,hypothetical protein,,WSM1022_03826
group_2138,,hypothetical protein,,WSM1022_03762
group_2137,,hypothetical protein,,WSM1022_00702
group_2136,,hypothetical protein,USDA1021_06779,
group_2133,,hypothetical protein,USDA1021_04189,
group_2132,,hypothetical protein,USDA1021_03919,
group_2131,,hypothetical protein,USDA1021_03783,
group_2128,,hypothetical protein,USDA1021_01429,
group_2127,,hypothetical protein,USDA1021_01388,
group_2122,,hypothetical protein,,WSM1022_04767
group_2121,,hypothetical protein,,WSM1022_04327
group_2120,,hypothetical protein,,WSM1022_03825
group_2109,,hypothetical protein,,WSM1022_04781
group_2108,,hypothetical protein,USDA1021_05630,
group_2105,,hypothetical protein,USDA1021_04743,
ros_4,ros_4,Transcriptional regulatory protein ros,USDA1021_04679,
group_2104,,IS5 family transposase ISNisp7,USDA1021_04185,
group_2103,,hypothetical protein,USDA1021_04124,
group_2102,,putative protein,USDA1021_04049,
group_2101,,hypothetical protein,USDA1021_03568,
group_2099,,hypothetical protein,USDA1021_00251,
norC,norC,Nitric oxide reductase subunit C,,WSM1022_04338
group_2096,,hypothetical protein,USDA1021_04734,
group_2095,,hypothetical protein,USDA1021_04165,
group_2094,,hypothetical protein,USDA1021_03626,
group_2093,,hypothetical protein,USDA1021_03477,
group_2089,,hypothetical protein,USDA1021_01399,
group_2087,,hypothetical protein,USDA1021_00796,
group_2086,,hypothetical protein,,WSM1022_04704
group_2085,,hypothetical protein,,WSM1022_04137
group_2084,,hypothetical protein,,WSM1022_03878
group_2083,,hypothetical protein,USDA1021_06633,
group_2082,,hypothetical protein,USDA1021_05751,
group_2081,,hypothetical protein,USDA1021_05745,
group_2079,,hypothetical protein,USDA1021_04244,
group_2078,,hypothetical protein,USDA1021_04121,
group_2076,,hypothetical protein,USDA1021_03459,
group_2066,,hypothetical protein,USDA1021_05749,
group_2063,,hypothetical protein,USDA1021_03753,
group_2062,,hypothetical protein,USDA1021_03416,
group_2060,,hypothetical protein,,WSM1022_04088
group_2059,,hypothetical protein,,WSM1022_03802
group_2058,,hypothetical protein,,WSM1022_01498
group_2057,,hypothetical protein,USDA1021_06687,
group_2053,,hypothetical protein,USDA1021_05022,
group_2052,,hypothetical protein,USDA1021_03936,
group_2045,,hypothetical protein,,WSM1022_04822
aroQ_3,aroQ_3,3-dehydroquinate dehydratase,,WSM1022_04778
queF,queF,NADPH-dependent 7-cyano-7-deazaguanine reductase,,WSM1022_02340
group_2043,,hypothetical protein,USDA1021_05882,
group_2042,,hypothetical protein,USDA1021_05574,
group_2040,,hypothetical protein,USDA1021_02590,
group_2039,,hypothetical protein,USDA1021_01403,
group_2036,,hypothetical protein,USDA1021_00357,
aroQ_2,aroQ_2,3-dehydroquinate dehydratase,,WSM1022_04774
group_2034,,hypothetical protein,USDA1021_05879,
ohrR_3,ohrR_3,Organic hydroperoxide resistance transcriptional regulator,USDA1021_04041,
group_2033,,IS21 family transposase ISRel16,USDA1021_03602,
group_2027,,hypothetical protein,,WSM1022_01485
group_2025,,hypothetical protein,USDA1021_04128,
group_2018,,hypothetical protein,,WSM1022_06336
group_2017,,hypothetical protein,,WSM1022_03925
group_2014,,hypothetical protein,USDA1021_03899,
group_2013,,hypothetical protein,USDA1021_03885,
group_2004,,hypothetical protein,USDA1021_05559,
lrp_6,lrp_6,Leucine-responsive regulatory protein,USDA1021_03499,
group_2002,,hypothetical protein,USDA1021_01645,
group_1999,,hypothetical protein,USDA1021_04271,
group_1998,,hypothetical protein,USDA1021_03921,
group_1996,,Single-stranded DNA-binding protein,USDA1021_02564,
group_1990,,hypothetical protein,,WSM1022_01938
group_1989,,hypothetical protein,USDA1021_06261,
group_1987,,hypothetical protein,USDA1021_03841,
gntK_1,gntK_1,Thermoresistant gluconokinase,USDA1021_03832,
group_1984,,hypothetical protein,USDA1021_01390,
group_1981,,hypothetical protein,,WSM1022_03958
group_1976,,hypothetical protein,USDA1021_03453,
group_1975,,hypothetical protein,USDA1021_03171,
group_1971,,hypothetical protein,,WSM1022_03951
group_1970,,hypothetical protein,,WSM1022_03776
group_1969,,hypothetical protein,,WSM1022_02338
group_1968,,hypothetical protein,USDA1021_06644,
group_1967,,hypothetical protein,USDA1021_06117,
ligD_7,ligD_7,Multifunctional non-homologous end joining protein LigD,USDA1021_06078,
group_1964,,hypothetical protein,USDA1021_01665,
group_1963,,hypothetical protein,,WSM1022_04006
group_1962,,hypothetical protein,,WSM1022_03803
group_1958,,hypothetical protein,USDA1021_01396,
group_1956,,hypothetical protein,,WSM1022_04010
group_1955,,hypothetical protein,,WSM1022_01499
group_1954,,hypothetical protein,USDA1021_05748,
group_1953,,hypothetical protein,USDA1021_05561,
group_1951,,hypothetical protein,USDA1021_04763,
group_1950,,hypothetical protein,USDA1021_04266,
group_1949,,hypothetical protein,USDA1021_03991,
ssb_2,ssb_2,Single-stranded DNA-binding protein,USDA1021_01652,
ropA_4,ropA_4,Outer membrane protein IIIA,,WSM1022_04803
group_1945,,hypothetical protein,,WSM1022_04007
lig_1,lig_1,DNA ligase,,WSM1022_01916
group_1941,,hypothetical protein,USDA1021_02570,
group_1934,,hypothetical protein,USDA1021_06110,
fabI_3,fabI_3,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI,USDA1021_04774,
group_1929,,hypothetical protein,USDA1021_01422,
group_1926,,hypothetical protein,USDA1021_00285,
group_1923,,hypothetical protein,USDA1021_04731,
group_1919,,hypothetical protein,USDA1021_01656,
ubiJ,ubiJ,Ubiquinone biosynthesis accessory factor UbiJ,,WSM1022_04330
group_1915,,hypothetical protein,,WSM1022_04152
snaC,snaC,NADH:riboflavin 5'-phosphate oxidoreductase,,WSM1022_03956
group_1910,,hypothetical protein,USDA1021_00606,
group_1909,ycaC_2,putative hydrolase YcaC,,WSM1022_05668
group_1908,,IS256 family transposase ISRm5,,WSM1022_04559
group_1907,,hypothetical protein,USDA1021_06643,
group_1906,,hypothetical protein,USDA1021_02614,
group_1905,,hypothetical protein,USDA1021_02573,
group_1899,,hypothetical protein,USDA1021_01640,
group_1894,,hypothetical protein,,WSM1022_01503
group_1892,,hypothetical protein,USDA1021_06097,
cetB,cetB,2-epi-5-epi-valiolone epimerase,USDA1021_04397,
group_1889,,hypothetical protein,USDA1021_03872,
group_1888,,hypothetical protein,USDA1021_03330,
group_1885,,hypothetical protein,,WSM1022_04593
group_1884,,hypothetical protein,,WSM1022_04537
pgrR_11,pgrR_11,HTH-type transcriptional regulator PgrR,USDA1021_04045,
group_1879,,hypothetical protein,USDA1021_01434,
group_1878,,hypothetical protein,USDA1021_00140,
group_1877,,hypothetical protein,,WSM1022_02410
rclR_1,rclR_1,RCS-specific HTH-type transcriptional activator RclR,USDA1021_04758,
yyaP_2,yyaP_2,putative protein YyaP,USDA1021_03957,
group_1875,,IS4 family transposase ISRm16,USDA1021_03895,
group_1874,,Acetyltransferase,USDA1021_03334,
group_1871,,hypothetical protein,,WSM1022_04546
group_1869,,IS3 family transposase ISRle4,USDA1021_03653,
group_1866,,hypothetical protein,USDA1021_01410,
group_1865,,hypothetical protein,,WSM1022_04348
group_1864,,hypothetical protein,,WSM1022_03517
group_1863,,hypothetical protein,,WSM1022_01961
group_1861,,hypothetical protein,USDA1021_05560,
group_1856,,hypothetical protein,USDA1021_01432,
group_1854,,hypothetical protein,,WSM1022_00700
sigF,sigF,ECF RNA polymerase sigma factor SigF,,WSM1022_06350
group_1849,,hypothetical protein,,WSM1022_03513
group_1847,,hypothetical protein,USDA1021_03766,
group_1846,,hypothetical protein,USDA1021_03424,
group_1845,,hypothetical protein,USDA1021_02898,
group_1842,,hypothetical protein,,WSM1022_06354
group_1841,,hypothetical protein,,WSM1022_01486
group_1832,,hypothetical protein,USDA1021_02584,
group_1830,,hypothetical protein,USDA1021_01161,
group_1826,,hypothetical protein,USDA1021_04740,
group_1825,,hypothetical protein,USDA1021_04233,
hbpA_2,hbpA_2,Heme-binding protein A,USDA1021_03858,
group_1824,,hypothetical protein,USDA1021_03604,
group_1820,,hypothetical protein,USDA1021_01441,
group_1819,,hypothetical protein,USDA1021_03938,
group_1818,,hypothetical protein,USDA1021_03746,
group_1817,,hypothetical protein,USDA1021_03646,
group_1815,,hypothetical protein,,WSM1022_06340
ctaE_2,ctaE_2,putative cytochrome c oxidase subunit 3,,WSM1022_04336
group_1809,,hypothetical protein,USDA1021_03846,
group_1805,,hypothetical protein,USDA1021_01630,
group_1801,,hypothetical protein,USDA1021_06693,
group_1800,,hypothetical protein,USDA1021_06641,
group_1797,,hypothetical protein,USDA1021_03636,
group_1795,,hypothetical protein,USDA1021_01794,
group_1793,,hypothetical protein,,WSM1022_06235
group_1792,,hypothetical protein,,WSM1022_03807
group_1791,,hypothetical protein,,WSM1022_01956
group_1790,,hypothetical protein,USDA1021_06099,
group_1788,,hypothetical protein,USDA1021_03992,
group_1787,,hypothetical protein,USDA1021_03776,
group_1779,,hypothetical protein,,WSM1022_06370
group_1778,,hypothetical protein,,WSM1022_01496
group_1776,,hypothetical protein,USDA1021_04112,
group_1775,,hypothetical protein,USDA1021_03956,
group_1774,,hypothetical protein,USDA1021_02611,
group_1772,,hypothetical protein,,WSM1022_05719
group_1770,,hypothetical protein,,WSM1022_04000
group_1769,,ISNCY family transposase ISRel10,,WSM1022_03906
group_1764,,hypothetical protein,USDA1021_03739,
group_1763,,hypothetical protein,USDA1021_03488,
group_1760,,hypothetical protein,USDA1021_00581,
group_1759,,hypothetical protein,USDA1021_00288,
group_1757,,hypothetical protein,USDA1021_03336,
group_1754,,hypothetical protein,USDA1021_01445,
group_1753,,hypothetical protein,,WSM1022_01535
group_1752,,hypothetical protein,,WSM1022_00264
group_1745,,hypothetical protein,USDA1021_02561,
group_1742,,hypothetical protein,USDA1021_00329,
group_1739,,hypothetical protein,,WSM1022_02337
group_1733,,hypothetical protein,,WSM1022_03997
group_1731,,hypothetical protein,USDA1021_04552,
group_1730,,hypothetical protein,USDA1021_03522,
group_1726,,hypothetical protein,,WSM1022_06234
group_1724,,hypothetical protein,USDA1021_04274,
wcaJ,wcaJ,UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase,,WSM1022_06201
group_1711,,hypothetical protein,USDA1021_05888,
group_1710,,hypothetical protein,USDA1021_05737,
tetR_2,tetR_2,DNA-binding transcriptional repressor TetR,USDA1021_04050,
group_1708,,hypothetical protein,USDA1021_03504,
group_1706,,hypothetical protein,USDA1021_02597,
group_1700,,hypothetical protein,,WSM1022_04350
group_1699,,hypothetical protein,,WSM1022_04136
group_1697,,hypothetical protein,USDA1021_06127,
group_1695,,hypothetical protein,USDA1021_04240,
group_1693,,hypothetical protein,USDA1021_03422,
group_1690,,hypothetical protein,,WSM1022_04638
xerC_6,xerC_6,Tyrosine recombinase XerC,,WSM1022_04041
group_1689,,hypothetical protein,,WSM1022_03810
group_1688,,hypothetical protein,USDA1021_06750,
group_1687,,hypothetical protein,USDA1021_06717,
group_1686,,hypothetical protein,USDA1021_03759,
group_1685,,hypothetical protein,USDA1021_03584,
group_1681,,hypothetical protein,,WSM1022_01964
group_1680,,hypothetical protein,,WSM1022_00711
group_1679,,hypothetical protein,,WSM1022_00697
group_1678,,hypothetical protein,,WSM1022_00456
group_1676,,hypothetical protein,USDA1021_05558,
group_1675,,hypothetical protein,USDA1021_04245,
pgrR_8,pgrR_8,HTH-type transcriptional regulator PgrR,USDA1021_03916,
cobC,cobC,Adenosylcobalamin/alpha-ribazole phosphatase,USDA1021_03839,
group_1671,,hypothetical protein,USDA1021_00279,
bsdB,bsdB,putative UbiX-like flavin prenyltransferase,,WSM1022_04332
group_1669,,hypothetical protein,,WSM1022_04030
gpmA_3,gpmA_3,23-bisphosphoglycerate-dependent phosphoglycerate mutase,USDA1021_04769,
group_1668,,hypothetical protein,USDA1021_04745,
ung_2,ung_2,Uracil-DNA glycosylase,,WSM1022_04700
group_1665,,hypothetical protein,,WSM1022_03885
yscL,yscL,Yop proteins translocation protein L,,WSM1022_03774
group_1663,,hypothetical protein,,WSM1022_00457
group_1661,,hypothetical protein,USDA1021_03443,
group_1658,,hypothetical protein,USDA1021_01382,
group_1657,,hypothetical protein,,WSM1022_06356
group_1656,,hypothetical protein,USDA1021_04131,
group_1655,,NAD(P)H dehydrogenase (quinone),USDA1021_03755,
group_1654,,hypothetical protein,USDA1021_03425,
group_1649,,hypothetical protein,,WSM1022_04138
slmA,slmA,Nucleoid occlusion factor SlmA,,WSM1022_04090
group_1648,,hypothetical protein,USDA1021_06726,
group_1647,,hypothetical protein,USDA1021_01408,
group_1646,,hypothetical protein,,WSM1022_06376
dinB_3,dinB_3,DNA polymerase IV,,WSM1022_04461
group_1645,,hypothetical protein,,WSM1022_03516
group_1644,,hypothetical protein,,WSM1022_01539
group_1637,,hypothetical protein,,WSM1022_06216
group_1636,,hypothetical protein,,WSM1022_04770
group_1635,,hypothetical protein,USDA1021_06094,
tmoS,tmoS,Sensor histidine kinase TmoS,USDA1021_04755,
group_1632,,hypothetical protein,USDA1021_03913,
ywrO,ywrO,General stress protein 14,USDA1021_03757,
group_1631,,hypothetical protein,USDA1021_03337,
pcaG_1,pcaG_1,Protocatechuate 34-dioxygenase alpha chain,,WSM1022_04794
group_1629,paoA_2,Aldehyde oxidoreductase iron-sulfur-binding subunit PaoA,,WSM1022_04001
sctC_4,sctC_4,Type 3 secretion system secretin,,WSM1022_03769
lasI,lasI,Acyl-homoserine-lactone synthase,USDA1021_04547,
group_1625,,hypothetical protein,USDA1021_04119,
group_1621,,hypothetical protein,,WSM1022_05814
group_1620,,hypothetical protein,,WSM1022_03815
group_1618,,hypothetical protein,USDA1021_06707,
