Mt5.0 (r1.7) locus tag,ACRONYM,new locus_tag (r1.7),DESCRIPTION,Publication,ID Mt5.0 (r1.6),ID Mt4.0,ID Mt20120830,Affymetrix probe set,Nimblegen probe
MtrunA17_Chr4g0032791,MtNCR161,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030556,MtrunA17Chr4g0032791,Medtr4g065085,Mt0003_00668,Mtr.29545.1.S1_at,Medtr_v1_024561
MtrunA17_Chr7g0224301,MtNCR162,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030557,MtrunA17Chr7g0224301,Medtr7g027125,Mt0035_10300,Mtr.40227.1.S1_x_at,Medtr_v1_065285
MtrunA17_Chr3g0090211,MtNCR163,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030558,MtrunA17Chr3g0090211,#N/A,Mt0030_00253,Mtr.10249.1.S1_at,Medtr_v1_061555
MtrunA17_Chr7g0244121,MtNCR164,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030559,MtrunA17Chr7g0244121,Medtr7g071720,Mt0026_00210,Mtr.42875.1.S1_s_at,Medtr_v1_044144
MtrunA17_Chr6g0469301,MtNCR166,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030560,MtrunA17Chr6g0469301,#N/A,Mt0032_00320,Mtr.13208.1.S1_at,Medtr_v1_083465
MtrunA17_Chr7g0224311,MtNCR167,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030561,MtrunA17Chr7g0224311,Medtr7g027120,Mt0035_10302,Mtr.11429.1.S1_x_at,Medtr_v1_065284
MtrunA17_Chr7g0244071,MtNCR168,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030562,MtrunA17Chr7g0244071,Medtr7g071690,Mt0026_00206,Mtr.44716.1.S1_at,#N/A
MtrunA17_Chr7g0229931,MtNCR169,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030563,MtrunA17Chr7g0229931,Medtr7g029760,Mt0143_10009,Mtr.3210.1.S1_at,Medtr_v1_042826
MtrunA17_Chr4g0007901,MtNCR170,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030564,MtrunA17Chr4g0007901,Medtr4g018680,Mt0455_10001,Mtr.27730.1.S1_at,Medtr_v1_062493
MtrunA17_Chr8g0352921,MtNCR171,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030565,MtrunA17Chr8g0352921,Medtr8g038715,Mt0037_10148,Mtr.2233.1.S1_at,#N/A
MtrunA17_Chr6g0487721,MtNCR172,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030566,MtrunA17Chr6g0487721,#N/A,Mt0024_00333,,#N/A
MtrunA17_Chr2g0308581,MtNCR173,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030567,MtrunA17Chr2g0308581,Medtr2g060960,Mt0072_00040,Mtr.27731.1.S1_at,Medtr_v1_011788
MtrunA17_Chr4g0021831,MtNCR174,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030568,MtrunA17Chr4g0021831,Medtr0107s0100,Mt0110_00034,,#N/A
MtrunA17_Chr4g0021781,MtNCR174,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030569,MtrunA17Chr4g0021781,#N/A,,Mtr.1588.1.S1_s_at,Medtr_v1_100458
MtrunA17_Chr5g0446381,MtNCR175,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030570,MtrunA17Chr5g0446381,Medtr5g095620,Mt0010_00936,Mtr.48402.1.S1_at,Medtr_v1_036311
MtrunA17_Chr6g0460201,MtNCR176,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030571,MtrunA17Chr6g0460201,Medtr6g025330,Mt0033_10160,Mtr.2222.1.S1_at,#N/A
MtrunA17_Chr2g0307591,MtNCR177,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030572,MtrunA17Chr2g0307591,Medtr2g056090,Mt0098_10055,,#N/A
MtrunA17_Chr4g0018041,MtNCR178,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030573,MtrunA17Chr4g0018041,Medtr4g035725,Mt0014_10127,Mtr.42354.1.S1_at,Medtr_v1_086655
MtrunA17_Chr2g0314511,MtNCR179,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030574,MtrunA17Chr2g0314511,Medtr2g073100,Mt0048_00145,,Medtr_v1_059426
MtrunA17_Chr7g0224341,MtNCR180,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030575,MtrunA17Chr7g0224341,#N/A,Mt0035_10307,Mtr.27466.1.S1_at,#N/A
MtrunA17_Chr3g0082251,MtNCR181,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030576,MtrunA17Chr3g0082251,Medtr1g037670,Mt0017_10386,Mtr.15575.1.S1_at,Medtr_v1_015374
MtrunA17_Chr8g0365091,MtNCR182,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030577,MtrunA17Chr8g0365091,Medtr8g064010,Mt0038_00308,,Medtr_v1_096206
MtrunA17_Chr4g0007721,MtNCR183,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030578,MtrunA17Chr4g0007721,Medtr0386s0010,Mt0097_00002,Mtr.37546.1.S1_x_at,Medtr_v1_083159
MtrunA17_Chr4g0007791,MtNCR184,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030579,MtrunA17Chr4g0007791,#N/A,Mt0097_00003,,Medtr_v1_100396
MtrunA17_Chr2g0314261,MtNCR185,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030580,MtrunA17Chr2g0314261,#N/A,Mt0048_10156,Mtr.1794.1.S1_at,Medtr_v1_086622
MtrunA17_Chr4g0027931,MtNCR187,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030581,MtrunA17Chr4g0027931,Medtr4g057160,Mt0003_10276,Mtr.27774.1.S1_s_at,Medtr_v1_024154
MtrunA17_Chr3g0084981,MtNCR188,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030582,MtrunA17Chr3g0084981,Medtr3g020920,Mt0017_00635,Mtr.31105.1.S1_at,Medtr_v1_015666
MtrunA17_Chr7g0229511,MtNCR190,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030583,MtrunA17Chr7g0229511,Medtr0888s0020,Mt0117_10006,Mtr.3708.1.S1_at,Medtr_v1_094746
MtrunA17_Chr6g0484741,MtNCR191,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030584,MtrunA17Chr6g0484741,Medtr6g084730,Mt0024_10120,Mtr.39042.1.S1_at,Medtr_v1_083067
MtrunA17_Chr6g0460161,MtNCR192,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030585,MtrunA17Chr6g0460161,#N/A,Mt0033_00149,Mtr.11627.1.S1_s_at,Medtr_v1_038869
MtrunA17_Chr3g0122201,MtNCR193,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030586,MtrunA17Chr3g0122201,Medtr3g084910,Mt0006_00214,Mtr.10947.1.S1_at,Medtr_v1_018473
MtrunA17_Chr5g0425511,MtNCR194,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030587,MtrunA17Chr5g0425511,Medtr5te062500,Mt0008_10398,Mtr.38373.1.S1_at,Medtr_v1_033626
MtrunA17_Chr2g0306951,MtNCR195,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030588,MtrunA17Chr2g0306951,Medtr2g054490,Mt0069_10047,Mtr.28102.1.S1_at,Medtr_v1_076673
MtrunA17_Chr3g0109281,MtNCR196,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030589,MtrunA17Chr3g0109281,Medtr3g063450,Mt0013_10004,Mtr.27140.1.S1_at,Medtr_v1_070729
MtrunA17_Chr4g0017341,MtNCR197,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030590,MtrunA17Chr4g0017341,#N/A,Mt0014_00203,Mtr.30291.1.S1_at,Medtr_v1_087619
MtrunA17_Chr1g0176531,MtNCR198,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030591,MtrunA17Chr1g0176531,#N/A,Mt0139_10026,Mtr.9373.1.S1_at,Medtr_v1_078371
MtrunA17_Chr4g0012471,MtNCR199,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030592,MtrunA17Chr4g0012471,#N/A,Mt0014_00481,,Medtr_v1_023116
MtrunA17_Chr6g0487871,MtNCR200,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030593,MtrunA17Chr6g0487871,Medtr0240s0040,Mt0024_00337,Mtr.11568.1.S1_at,#N/A
MtrunA17_Chr6g0487701,MtNCR200,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030594,MtrunA17Chr6g0487701,#N/A,Mt0024_00333,Mtr.10467.1.S1_at,Medtr_v1_040785
MtrunA17_Chr4g0032661,MtNCR201,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030595,MtrunA17Chr4g0032661,Medtr4g065410,Mt0003_10661,Mtr.13135.1.S1_at,Medtr_v1_024588
MtrunA17_Chr4g0032741,MtNCR203,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030596,MtrunA17Chr4g0032741,#N/A,Mt0003_10668,Mtr.38104.1.S1_at,Medtr_v1_062801
MtrunA17_Chr2g0302861,MtNCR204,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030597,MtrunA17Chr2g0302861,Medtr2g046630,Mt0047_00025,Mtr.37081.1.S1_at,Medtr_v1_075027
MtrunA17_Chr2g0307801,MtNCR205,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030598,MtrunA17Chr2g0307801,#N/A,,Mtr.3527.1.S1_at,#N/A
MtrunA17_Chr4g0032701,MtNCR206,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030599,MtrunA17Chr4g0032701,#N/A,Mt0003_10663,,Medtr_v1_024582
MtrunA17_Chr1g0179261,MtNCR207,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030600,MtrunA17Chr1g0179261,Medtr1g061110,Mt0004_00520,Mtr.10056.1.S1_at,#N/A
MtrunA17_Chr2g0304801,MtNCR208,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030601,MtrunA17Chr2g0304801,#N/A,Mt0073_00114,Mtr.12752.1.S1_at,#N/A
MtrunA17_Chr4g0035351,MtNCR209,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030602,MtrunA17Chr4g0035351,Medtr4g070690,Mt0003_00855,Mtr.15206.1.S1_at,Medtr_v1_062839
MtrunA17_Chr5g0425501,MtNCR210,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030603,MtrunA17Chr5g0425501,Medtr5g062630,Mt0008_00452,Mtr.43757.1.S1_at,Medtr_v1_033625
MtrunA17_Chr4g0018031,MtNCR211,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030604,MtrunA17Chr4g0018031,#N/A,Mt0014_10128,,Medtr_v1_089761
MtrunA17_Chr3g0106851,MtNCR212,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030605,MtrunA17Chr3g0106851,Medtr3g466130,Mt0013_00208,Mtr.9146.1.S1_at,Medtr_v1_083811
MtrunA17_Chr4g0032721,MtNCR213,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030606,MtrunA17Chr4g0032721,Medtr4g065720,Mt0003_10667,Mtr.8340.1.S1_s_at,Medtr_v1_024568
MtrunA17_Chr6g0450521,MtNCR215b,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030607,MtrunA17Chr6g0450521,Medtr6g006500,Mt0025_00078,Mtr.27148.1.S1_at,Medtr_v1_064785
MtrunA17_Chr6g0450391,MtNCR216,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030608,MtrunA17Chr6g0450391,#N/A,Mt0025_00066,Mtr.3269.1.S1_at,Medtr_v1_064781
MtrunA17_Chr5g0429841,MtNCR217,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030609,MtrunA17Chr5g0429841,#N/A,Mt0008_00806,Mtr.30153.1.S1_at,Medtr_v1_034228
MtrunA17_Chr6g0487511,MtNCR219,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030610,MtrunA17Chr6g0487511,#N/A,Mt0024_10361,Mtr.43728.1.S1_at,Medtr_v1_069821
MtrunA17_Chr4g0033021,MtNCR220,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030611,MtrunA17Chr4g0033021,#N/A,Mt0003_00685,Mtr.8365.1.S1_at,#N/A
MtrunA17_Chr3g0088981,MtNCR221,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030612,MtrunA17Chr3g0088981,Medtr3g030420,Mt0043_10241,Mtr.15102.1.S1_at,Medtr_v1_016104
MtrunA17_Chr6g0464911,MtNCR222,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030613,MtrunA17Chr6g0464911,Medtr6g038290,Mt0093_00029,Mtr.7699.1.S1_at,Medtr_v1_084587
MtrunA17_Chr6g0474231,MtNCR223,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030614,MtrunA17Chr6g0474231,Medtr6g464870,Mt0124_00021,Mtr.23624.1.S1_x_at,#N/A
MtrunA17_Chr6g0450461,MtNCR224,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030615,MtrunA17Chr6g0450461,Medtr6g406390,Mt0002_10588,Mtr.29569.1.S1_at,Medtr_v1_038239
MtrunA17_Chr7g0214051,MtNCR225,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030616,MtrunA17Chr7g0214051,#N/A,Mt0021_00010,Mtr.41036.1.S1_at,Medtr_v1_094827
MtrunA17_Chr1g0169221,MtNCR226,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030617,MtrunA17Chr1g0169221,#N/A,Mt0002_01682,,Medtr_v1_101158
MtrunA17_Chr5g0408711,MtNCR227,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030618,MtrunA17Chr5g0408711,#N/A,Mt0005_01059,Mtr.44286.1.S1_at,Medtr_v1_031216
MtrunA17_Chr6g0450321,MtNCR228,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030619,MtrunA17Chr6g0450321,Medtr6g006240,Mt0025_00060,Mtr.30992.1.S1_at,Medtr_v1_038242
MtrunA17_Chr6g0450301,MtNCR229,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030620,MtrunA17Chr6g0450301,Medtr6g006250,Mt0025_00059,Mtr.36185.1.S1_at,#N/A
MtrunA17_Chr4g0022971,MtNCR230,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030621,MtrunA17Chr4g0022971,Medtr0048s0180,Mt0051_00197,Mtr.11848.1.S1_at,Medtr_v1_077567
MtrunA17_Chr3g0090171,MtNCR231,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030622,MtrunA17Chr3g0090171,Medtr3g033925,Mt0030_00256,Mtr.2230.1.S1_at,#N/A
MtrunA17_Chr1g0173861,MtNCR232,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030623,MtrunA17Chr1g0173861,Medtr1g052005,Mt0177_00008,Mtr.13739.1.S1_at,Medtr_v1_086979
MtrunA17_Chr3g0081251,MtNCR233,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030624,MtrunA17Chr3g0081251,#N/A,Mt0017_10296,Mtr.44623.1.S1_at,#N/A
MtrunA17_Chr1g0169921,MtNCR234,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030625,MtrunA17Chr1g0169921,#N/A,Mt0002_11739,Mtr.30019.1.S1_at,Medtr_v1_096037
MtrunA17_Chr4g0031271,MtNCR235,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030626,MtrunA17Chr4g0031271,Medtr4g063690,Mt0003_00549,Mtr.12854.1.S1_at,Medtr_v1_060968
MtrunA17_Chr3g0112881,MtNCR236,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030627,MtrunA17Chr3g0112881,Medtr3g069830,Mt0006_10908,Mtr.10953.1.S1_at,Medtr_v1_017612
MtrunA17_Chr7g0240361,MtNCR237,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030628,MtrunA17Chr7g0240361,Medtr7g065025,Mt0086_00059,Mtr.46092.1.S1_at,Medtr_v1_065420
MtrunA17_Chr2g0301771,MtNCR238,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030629,MtrunA17Chr2g0301771,#N/A,Mt0056_00076,Mtr.29596.1.S1_at,Medtr_v1_098800
MtrunA17_Chr7g0243971,MtNCR239,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030630,MtrunA17Chr7g0243971,Medtr7g071220,Mt0026_00194,,Medtr_v1_065470
MtrunA17_Chr3g0087971,MtNCR241,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030631,MtrunA17Chr3g0087971,Medtr3g028440,Mt0043_10167,,Medtr_v1_016023
MtrunA17_Chr3g0108911,MtNCR242,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030632,MtrunA17Chr3g0108911,#N/A,Mt0013_00039,,Medtr_v1_092065
MtrunA17_Chr4g0021161,MtNCR243,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030633,MtrunA17Chr4g0021161,#N/A,Mt0083_00046,Mtr.9159.1.S1_at,Medtr_v1_096197
MtrunA17_Chr5g0400261,MtNCR244,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030634,MtrunA17Chr5g0400261,Medtr5g014050,Mt0005_00450,Mtr.13004.1.S1_at,Medtr_v1_030188
MtrunA17_Chr3g0087951,MtNCR245,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030635,MtrunA17Chr3g0087951,Medtr3g028380,Mt0043_10165,Mtr.19958.1.S1_at,Medtr_v1_061497
MtrunA17_Chr7g0226691,MtNCR246b,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030636,MtrunA17Chr7g0226691,Medtr7g032920,Mt0044_00166,Mtr.30286.1.S1_at,Medtr_v1_042971
MtrunA17_Chr5g0423671,MtNCR247,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030637,MtrunA17Chr5g0423671,Medtr5g056815,Mt0008_00252,Mtr.44069.1.S1_at,Medtr_v1_037423
MtrunA17_Chr4g0022131,MtNCR249,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030638,MtrunA17Chr4g0022131,#N/A,Mt0008_01065,Mtr.39216.1.S1_at,#N/A
MtrunA17_Chr6g0475821,MtNCR250,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030639,MtrunA17Chr6g0475821,Medtr6g461840,Mt0054_10186,,Medtr_v1_077958
MtrunA17_Chr4g0033161,MtNCR251,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030640,MtrunA17Chr4g0033161,#N/A,Mt0003_00694,,Medtr_v1_077760
MtrunA17_Chr2g0302921,MtNCR252,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030641,MtrunA17Chr2g0302921,Medtr2g046680,Mt0047_00031,Mtr.31771.1.S1_at,#N/A
MtrunA17_Chr2g0300381,MtNCR254,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030642,MtrunA17Chr2g0300381,#N/A,Mt0137_10008,Mtr.1739.1.S1_at,Medtr_v1_080470
MtrunA17_Chr1g0174621,MtNCR259,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030643,MtrunA17Chr1g0174621,#N/A,Mt0050_00094,Mtr.35416.1.S1_at,Medtr_v1_059139
MtrunA17_Chr1g0173791,MtNCR260,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030644,MtrunA17Chr1g0173791,#N/A,Mt0155_10018,,Medtr_v1_095952
MtrunA17_Chr4g0029571,MtNCR261,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030645,MtrunA17Chr4g0029571,Medtr4te060010,Mt0003_10408,,Medtr_v1_003204
MtrunA17_Chr5g0425221,MtNCR262,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030646,MtrunA17Chr5g0425221,#N/A,Mt0008_00430,Mtr.26788.1.S1_at,Medtr_v1_037564
MtrunA17_Chr3g0089971,MtNCR263,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030647,MtrunA17Chr3g0089971,Medtr3g033260,Mt0030_10274,Mtr.2223.1.S1_at,Medtr_v1_016307
MtrunA17_Chr4g0024251,MtNCR264,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030648,MtrunA17Chr4g0024251,#N/A,Mt0152_00030,Mtr.29511.1.S1_at,Medtr_v1_083817
MtrunA17_Chr5g0418951,MtNCR265,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030649,MtrunA17Chr5g0418951,#N/A,Mt0012_10193,Mtr.44040.1.S1_at,#N/A
MtrunA17_Chr5g0428731,MtNCR266,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030650,MtrunA17Chr5g0428731,#N/A,Mt0008_10669,Mtr.2006.1.S1_at,Medtr_v1_034084
MtrunA17_Chr2g0309971,MtNCR269,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030651,MtrunA17Chr2g0309971,Medtr6g445080,Mt0084_10027,Mtr.1775.1.S1_at,Medtr_v1_067431
MtrunA17_Chr7g0244091,MtNCR270,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030652,MtrunA17Chr7g0244091,Medtr7g071695,Mt0026_00209,Mtr.27144.1.S1_at,Medtr_v1_044141
MtrunA17_Chr7g0264701,MtNCR271,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030653,MtrunA17Chr7g0264701,Medtr7g102170,Mt0031_00205,Mtr.7347.1.S1_at,Medtr_v1_046246
MtrunA17_Chr8g0353101,MtNCR272,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030654,MtrunA17Chr8g0353101,Medtr8g039130,Mt0037_10163,Mtr.2267.1.S1_at,Medtr_v1_049388
MtrunA17_Chr5g0423711,MtNCR273,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030655,MtrunA17Chr5g0423711,Medtr5g057460,Mt0008_00261,Mtr.28138.1.S1_at,Medtr_v1_033300
MtrunA17_Chr4g0020381,MtNCR274,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030656,MtrunA17Chr4g0020381,Medtr0003te0420,Mt0130_10020,Mtr.12580.1.S1_s_at,Medtr_v1_082986
MtrunA17_Chr2g0308621,MtNCR277,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030657,MtrunA17Chr2g0308621,#N/A,Mt0072_10046,Mtr.13022.1.S1_at,Medtr_v1_060964
MtrunA17_Chr4g0029561,MtNCR278,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030658,MtrunA17Chr4g0029561,Medtr4g060000,Mt0003_00411,Mtr.27430.1.S1_at,Medtr_v1_024262
MtrunA17_Chr8g0352081,MtNCR279,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030659,MtrunA17Chr8g0352081,Medtr8g036830,Mt0037_00080,Mtr.43385.1.S1_at,#N/A
MtrunA17_Chr7g0265281,MtNCR280,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030660,MtrunA17Chr7g0265281,#N/A,Mt0031_10255,Mtr.3536.1.S1_at,#N/A
MtrunA17_Chr3g0094101,MtNCR281,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030661,MtrunA17Chr3g0094101,Medtr3g436830,Mt0091_00068,Mtr.30985.1.S1_at,#N/A
MtrunA17_Chr4g0006301,MtNCR282,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030662,MtrunA17Chr4g0006301,#N/A,Mt0045_00105,,Medtr_v1_022576
MtrunA17_Chr3g0089891,MtNCR284,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030663,MtrunA17Chr3g0089891,#N/A,Mt0030_10281,Mtr.35411.1.S1_at,#N/A
MtrunA17_Chr2g0333601,MtNCR285,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030664,MtrunA17Chr2g0333601,Medtr2g104570,Mt0016_00054,Mtr.28123.1.S1_at,#N/A
MtrunA17_Chr5g0426081,MtNCR286a,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030665,MtrunA17Chr5g0426081,Medtr5g063780,Mt0008_00506,,Medtr_v1_033719
MtrunA17_Chr7g0224321,MtNCR287,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030666,MtrunA17Chr7g0224321,Medtr7g027060,Mt0035_10305,Mtr.2265.1.S1_at,#N/A
MtrunA17_Chr7g0220031,MtNCR289,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030667,MtrunA17Chr7g0220031,Medtr7g016440,Mt0088_10045,Mtr.1162.1.S1_at,Medtr_v1_042218
MtrunA17_Chr5g0424911,MtNCR291,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030668,MtrunA17Chr5g0424911,Medtr5g061120,Mt0008_00396,Mtr.36963.1.S1_at,Medtr_v1_033518
MtrunA17_Chr4g0028381,MtNCR293,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030669,MtrunA17Chr4g0028381,Medtr4g057680,Mt0003_00306,,Medtr_v1_067172
MtrunA17_Chr4g0032911,MtNCR294,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030670,MtrunA17Chr4g0032911,Medtr4g065820,Mt0003_00676,Mtr.29883.1.S1_at,Medtr_v1_080439
MtrunA17_Chr3g0099811,MtNCR295,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030671,MtrunA17Chr3g0099811,Medtr3g053590,Mt0013_10764,,Medtr_v1_073390
MtrunA17_Chr5g0431041,MtNCR297,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030672,MtrunA17Chr5g0431041,#N/A,Mt0008_10840,Mtr.1992.1.S1_at,Medtr_v1_064384
MtrunA17_Chr4g0031231,MtNCR298,#N/A,Nodule-specific Cysteine-Rich peptide,PMID:28438996; PMID:29030673,MtrunA17Chr4g0031231,Medtr4g063645,Mt0003_00546,,Medtr_v1_011798
