,"Supplementary Dataset 1. List of functionally-validated SNF genes in legumes. Roy et al. (2019). Plant Cell 10.1105/tpc.19.00279. Table shows genes validated by mutational analyses (RNAi, antisense, Tnt1, LORE1, EMS mutagenesis, Y-ray mutagenesis, CRISPR-Cas9, etc). Involvement in different stages of nodulation and nitrogen fixation are indicated by Nod +/-; Inf +/- and fix +/- identifiers for which the key is provided in a separate tab labelled 'Key'. All sequences are provided in a separate tab labelled 'Sequences'. Genes with overexpression phenotypes or expression data alone were not included. Phenotypes associated with lines where multiple genes have been knocked down or edited are entered only once. Each reference indicates the first study describing a mutant in which the gene was identified and the genes are annotated with the two letter code to the corresponding species. The full table with orthology information and gene identifiers can be found at https://nobleapps.noble.org/LegumeGenetics",,,,,,,,,,,,,,,
LjNRSYM1,"Inf++, (C)","Nod++, (C)","Fix++, (C)","Nishida et al., 2018",TF (RWP-RK domain containing),NITRATE UNRESPONSIVE SYMBIOSIS 1 (NRSYM1),,EMS,Medtr1g100970,Mtr.14008.1.S1_at,Lj5g3v1999250,"Glyma.10G234100, Glyma.20G160200",Phvul.007G071900,n/a,,"Nishida, H., Tanaka, S., Handa, Y., Ito, M., Sakamoto, Y., Matsunaga, S., Betsuyaku, S., Miura, K., Soyano, T., and Kawaguchi, M. (2018). A NIN-LIKE PROTEIN mediates nitrate-induced control of root nodule symbiosis in Lotus japonicus. Nature communications 9, 499."
MtNSP1,Inf-,Nod-,n/a,"Smit et al., 2005",TF (GRAS family),NODULATION SIGNALING PATHWAY 1 (NSP1),,EMS,Medtr8g020840,Mtr.6956.1.S1_at,Lj3g3v2579340,"Glyma.07G039400, Glyma.16G008200",Phvul.010G129400,Myc+/-,,"Smit, P., Raedts, J., Portyanko, V., Debellé, F., Gough, C., Bisseling, T., and Geurts, R. (2005). NSP1 of the GRAS Protein Family Is Essential for Rhizobial Nod Factor-Induced Transcription. Science 308, 1789-1791."
MtNSP2,Inf-,Nod-,n/a,"Kaló et al., 2005;",TF (GRAS family),NODULATION SIGNALING PATHWAY 2 (NSP2),,EMS,Medtr3g072710,Mtr.44789.1.S1_at,Lj1g3v0785930.1,Glyma.06G110800,Phvul.009G122700,Myc+/-,,"Kaló, P., Gleason, C., Edwards, A., Marsh, J., Mitra, R.M., Hirsch, S., Jakab, J., Sims, S., Long, S.R., Rogers, J., Kiss, G.B., Downie, J.A., and Oldroyd, G.E.D. (2005). Nodulation Signaling in Legumes Requires NSP2, a Member of the GRAS Family of Transcriptional Regulators. Science 308, 1786-1789."
LjnsRING,Inf+/-,Nod-,n/a,"Shimomura et al., 2006",Enzyme (Ligase),nodule specific REALLY INTERESTING NEW GENE (nsRING),,RNAi,Medtr8g104410,Mtr.11853.1.S1_at,Lj4g3v3099540,Glyma.05G237500,Phvul.002G317800,n/a,,"Nomura, M., Tajima, S., Shimomura, K., and Kouchi, H. (2006). LjnsRING, a Novel RING Finger Protein, is Required for Symbiotic Interactions Between Mesorhizobium loti and Lotus japonicus. Plant and Cell Physiology 47, 1572-1581."
LjNUP133,Inf*,"Nod-, Nod*, (C)",n/a,"Kanamori et al., 2006",Nucleoporin,NUCLEOPORIN 133 (NUP133),,T-DNA,Medtr5g097260,Mtr.4560.1.S1_at,Lj2g3v3337540,"Glyma.02G305200, Glyma.14G008200",Phvul.008G284900,"Myc-, (C)",,"Kanamori, N., Madsen, L.H., Radutoiu, S., Frantescu, M., Quistgaard, E.M.H., Miwa, H., Downie, J.A., James, E.K., Felle, H.H., Haaning, L.L., Jensen, T.H., Sato, S., Nakamura, Y., Tabata, S., Sandal, N., and Stougaard, J. (2006). A nucleoporin is required for induction of Ca2+ spiking in legume nodule development and essential for rhizobial and fungal symbiosis. Proceedings of the National Academy of Sciences of the United States of America 103, 359-364."
LjNUP85,Inf+/-,Nod-,n/a,"Saito et al., 2007",Nucleoporin,NUCLEOPORIN 85 (NUP85),,EMS,Medtr5g097260,Mtr.4560.1.S1_at,Lj2g3v3337530,"Glyma.02G305200, Glyma.14G008200",Phvul.008G287200,"Myc+/-, (C)",,"Saito, K., Yoshikawa, M., Yano, K., Miwa, H., Uchida, H., Asamizu, E., Sato, S., Tabata, S., Imaizumi-Anraku, H., Umehara, Y., Kouchi, H., Murooka, Y., Szczyglowski, K., Downie, J.A., Parniske, M., Hayashi, M., and Kawaguchi, M. (2007). NUCLEOPORIN85 is required for calcium spiking, fungal and bacterial symbioses, and seed production in Lotus japonicus. The Plant cell 19, 610-624."
MtPEN3-like,n/a,Nod+/-,n/a,"Curtin et al., 2017",Transporter (ABC-G type),PENETRATION3 - LIKE,,"CRISPR-Cas9, Tnt1",Medtr2g101090,Mtr.39140.1.S1_at,Lj3g3v0275800,"Glyma.13G355000, Glyma.08G201300",Phvul.005G166500,n/a,,"Curtin, S.J., Tiffin, P., Guhlin, J., Trujillo, D.I., Burghart, L.T., Atkins, P., Baltes, N.J., Denny, R., Voytas, D.F., Stupar, R.M., and Young, N.D. (2017). Validating Genome-Wide Association Candidates Controlling Quantitative Variation in Nodulation. Plant physiology 173, 921-931."
MtPHO2-like,n/a,Nod+/-,n/a,"Curtin et al., 2017",Enzyme (E2 Ligase),PHOSPHATE2 - LIKE,,"CRISPR-Cas9, Tnt1",Medtr4g020620,Mtr.23121.1.S1_at,Lj6g3v2030860,"Glyma.13G239100, Glyma.15G074200",Phvul.006G185400,n/a,,"Curtin, S.J., Tiffin, P., Guhlin, J., Trujillo, D.I., Burghart, L.T., Atkins, P., Baltes, N.J., Denny, R., Voytas, D.F., Stupar, R.M., and Young, N.D. (2017). Validating Genome-Wide Association Candidates Controlling Quantitative Variation in Nodulation. Plant physiology 173, 921-931."
MtPNO1-like,n/a,Nod+/-,n/a,"Curtin et al., 2017",RNA binding protein,PARTNER OF NOB1-LIKE,,"CRISPR-Cas9, Tnt1",Medtr5g088410,Mtr.91.1.S1_at,Lj5g3v1806970,Glyma.18G072700,Phvul.002G190300,n/a,,"Curtin, S.J., Tiffin, P., Guhlin, J., Trujillo, D.I., Burghart, L.T., Atkins, P., Baltes, N.J., Denny, R., Voytas, D.F., Stupar, R.M., and Young, N.D. (2017). Validating Genome-Wide Association Candidates Controlling Quantitative Variation in Nodulation. Plant physiology 173, 921-931."
LjPHYB,n/a,Nod+/-,n/a,"Suzuki et al., 2011",Photoreceptor (Red/far-red),PHYTOCHROME B (PHYB),,EMS,Medtr2g034040,Mtr.32426.1.S1_s_at,Lj6g3v1915810,Glyma.09G035500,Phvul.006G118200,n/a,,"Suzuki, A., Suriyagoda, L., Shigeyama, T., Tominaga, A., Sasaki, M., Hiratsuka, Y., Yoshinaga, A., Arima, S., Agarie, S., Sakai, T., Inada, S., Jikumaru, Y., Kamiya, Y., Uchiumi, T., Abe, M., Hashiguchi, M., Akashi, R., Sato, S., Kaneko, T., Tabata, S., and Hirsch, A.M. (2011). Lotus japonicus nodulation is photomorphogenetically controlled by sensing the red/far red (R/FR) ratio through jasmonic acid (JA) signaling. Proceedings of the National Academy of Sciences 108, 16837-16842."
PvPI3K,"Inf++, Inf*","Nod+/-, Nod*","Fix+/-, Fix*","Estrada-Navarrete et al., 2016",Enzyme (Kinase),PHOSPHATIDYLINOSITOL 3-KINASE (PI3K),vps34,RNAi,Medtr5g034120,Mtr.9016.1.S1_at,Lj2g3v1414920,Glyma.06G096300,Phvul.002G070100,Myc+/-,,"Estrada-Navarrete, G., Cruz-Mireles, N., Lascano, R., Alvarado-Affantranger, X., Hernández-Barrera, A., Barraza, A., Olivares, J.E., Arthikala, M.-K., Cárdenas, L., and Quinto, C. (2016). An autophagy-related kinase is essential for the symbiotic relationship between Phaseolus vulgaris and both rhizobia and arbuscular mycorrhizal fungi. The Plant Cell 28, 2326-2341."
MtPIN2/MtPIN3/MtPIN4,n/a,Nod+/-,n/a,"Huo et al., 2006",Transporter (Auxin efflux),PIN-FORMED(PIN2/PIN3/PIN4),,RNAi,"Medtr4g127100, Medtr1g030890, Medtr6g069510","Mtr.45124.1.S1_at, Mtr.45439.1.S1_at, Mtr.1076.1.S1_at","Lj4g3v2139970, Lj0g3v0320849, Lj4g3v3114900","Glyma.17G057300, Glyma.13G101900, Glyma.09G117900, Glyma.07G102500","Phvul.003G139600, Phvul.003G032500, Phvul.004G150600",n/a,,"Huo, X., Schnabel, E., Hughes, K., and Frugoli, J. (2006). RNAi Phenotypes and the Localization of a Protein::GUS Fusion Imply a Role for Medicago truncatula PIN Genes in Nodulation. Journal of plant growth regulation 25, 156-165."
LjPIR,Inf+/-,"Nod+/-, White++",Fix-,"Yokota et al., 2009",SCAR/WAVE complex component,121F-specific p53 INDUCIBLE RNA (PIR),,"Ac Transposon, EMS",Medtr7g116590,Mtr.14086.1.S1_s_at,Lj1g3v5020900,Glyma.03G253000,Phvul.006G107600,n/a,,"Yokota, K., Fukai, E., Madsen, L.H., Jurkiewicz, A., Rueda, P., Radutoiu, S., Held, M., Hossain, M.S., Szczyglowski, K., and Morieri, G. (2009). Rearrangement of actin cytoskeleton mediates invasion of Lotus japonicus roots by Mesorhizobium loti. The Plant Cell 21, 267-284."
MtPLT1/MtPLT2/MtPLT3/MtPLT4,n/a,"Nod+, Nod*",n/a,"Franssen et al., 2015",TF (AP2 domain containing),PLETHORA 1 (PLT1/PLT2/PLT3/PLT4),,RNAi,"Medtr2g098180, Medtr4g065370, Medtr5g031880, Medtr7g080460",,"Lj3g3v1778650, Lj3g3v3245260, Lj2g3v1455120, Lj1g3v2841310","Glyma.11G131900, Glyma.12G056300, Glyma.09G199800, Glyma.01G022500, Glyma.09G248200","Phvul.011G058000, Phvul.002G146400, ",n/a,,"Franssen, H.J., Xiao, T.T., Kulikova, O., Wan, X., Bisseling, T., Scheres, B., and Heidstra, R. (2015). Root developmental programs shape the Medicago truncatula nodule meristem. Development 142, 2941-2950."
PvPRAT3,n/a,n/a,Fix+/-,"Coleto et al., 2016",Enzyme (Purine synthase),GLUTAMINE PHOSPHORIBOSYL PYROPHOSPHATE AMIDOTRANSFERASE 3 (PRAT 3),,RNAi,Medtr3g117590,-,Lj1g3v3354300.2,Glyma.04G007300,Phvul.009G002200,n/a,,"Coleto, I., Trenas, A.T., Erban, A., Kopka, J., Pineda, M., and Alamillo, J.M. (2016). Functional specialization of one copy of glutamine phosphoribosyl pyrophosphate amidotransferase in ureide production from symbiotically fixed nitrogen in Phaseolus vulgaris. Plant Cell Environ 39, 1767-1779."
GmPT5,n/a,"Nod+/- (C), Nod*",n/a,"Qin et al., 2012",Transporter (Phosphate),PHOSPHATE TRANSPORTER 5  (PT5),,RNAi,Medtr7g096870,-,Lj1g3v4483780,Glyma.03G162800,Phvul.001G160600,n/a,,"Qin, L., Zhao, J., Tian, J., Chen, L., Sun, Z., Guo, Y., Lu, X., Gu, M., Xu, G., and Liao, H. (2012). The High-Affinity Phosphate Transporter GmPT5 Regulates Phosphate Transport to Nodules and Nodulation in Soybean. Plant Physiology 159, 1634-1643."
GmPT7,n/a,Nod*,Fix+/-,"Chen et al., 2019",Transporter (Phosphate),PHOSPHATE TRANSPORTER 7  (PT7),,RNAi,Medtr1g074930,Mtr.40615.1.S1_at,Lj6g3v0030050,Glyma.10G186500,Phvul.007G127400,n/a,,"Chen, L., Qin, L., Zhou, L., Li, X., Chen, Z., Sun, L., Wang, W., Lin, Z., Zhao, J., and Yamaji, N. (2019). A nodule‐localized phosphate transporter Gm PT 7 plays an important role in enhancing symbiotic N2 fixation and yield in soybean. New Phytologist 221, 2013-2025."
MtPUB1,Inf++,Nod++,n/a,"Mbengue et al, 2010",Enzyme (Ligase),PLANT U BOX PROTEIN 1 (PUB1),,RNAi,Medtr5g083030,Mtr.26500.1.S1_at,Lj2g3v2794440,Glyma.02G264200,Phvul.008G222100,n/a,,"Mbengue, M., Camut, S., de Carvalho-Niebel, F., Deslandes, L., Froidure, S., Klaus-Heisen, D., Moreau, S., Rivas, S., Timmers, T., Hervé, C., Cullimore, J., and Lefebvre, B. (2010). The Medicago truncatula E3 Ubiquitin Ligase PUB1 Interacts with the LYK3 Symbiotic Receptor and Negatively Regulates Infection and Nodulation. The Plant Cell 22, 3474-3488."
MtRab7a1/MtRab7a2,n/a,Nod*,Fix*,"Limpens et al.,2009",Enzyme (Hydrolase),Rab (Ras-related proteins in brain) GTPases (Rab7a1/Rab7a2),,RNAi,"Medtr4g012940, Medtr4g069850","Mtr.37658.1.S1_at, Mtr.43049.1.S1_s_at","Lj0g3v0271919, Lj3g3v3338580","Glyma.08G205300, Glyma.07G004500, Glyma.12G044100","Phvul.010G149200, Phvul.011G046100",n/a,,"Limpens, E., Ivanov, S., van Esse, W., Voets, G., Fedorova, E., and Bisseling, T. (2009). Medicago N2-fixing symbiosomes acquire the endocytic identity marker Rab7 but delay the acquisition of vacuolar identity. Plant Cell 21, 2811-2828."
PvRabA2,Inf-,Nod-,n/a,"Blanco et al., 2009",Enzyme (Hydrolase),Rab (Ras-related proteins in brain) GTPases RabA2,,RNAi,Medtr4g064897,Mtr.8716.1.S1_at,Lj3g3v3236550,Glyma.11G135400,Phvul.011G061100,n/a,,"Blanco, F.A., Meschini, E.P., Zanetti, M.E., and Aguilar, O.M. (2009). A small GTPase of the Rab family is required for root hair formation and preinfection stages of the common bean-Rhizobium symbiotic association. The Plant cell 21, 2797-2810."
PvRACK1,n/a,"Nod+/-, Nod*",n/a,"Islas-flores et al., 2011",Scaffold protein,RECEPTOR FOR ACTIVATED C KINASE (RACK1),,RNAi,Medtr8g106790,Mtr.8534.1.S1_at,Lj4g3v3114400,Glyma.05G243800,Phvul.002G327500,n/a,,"Islas-Flores, T., Guillén, G., Alvarado-Affantranger, X., Lara-Flores, M., Sánchez, F., and Villanueva, M.A. (2011). PvRACK1 Loss-of-Function Impairs Cell Expansion and Morphogenesis in Phaseolus vulgaris L. Root Nodules. Molecular Plant-Microbe Interactions 24, 819-826."
MtRbohA,n/a,n/a,Fix+/-,"Marino et al., 2010",Enzyme (Oxidoreductase),Rboh(NADPH-oxidase) (RbohA/RbohB),,RNAi,Medtr3g107970,-,Lj0g3v0274849,Glyma.04G071600,Phvul.009G097500,Myc+/-,,"Marino, D., Andrio, E., Danchin, E.G.J., Oger, E., Gucciardo, S., Lambert, A., Puppo, A., and Pauly, N. (2011). A Medicago truncatula NADPH oxidase is involved in symbiotic nodule functioning. The New phytologist 189, 580-592."
PvRbohA,Inf+/-,Nod+/-,Fix+/-,"Arthikala et al, 2017",Enzyme (Oxidoreductase),"Rboh(respiratory burst oxidase homologues, NADPH oxidase) (RbohB)",,RNAi,Medtr7g113130,-,Lj6g3v1549190,Glyma.03G236300,Phvul.006G090200,n/a,,"Arthikala, M.-K., Montiel, J., Sánchez-López, R., Nava, N., Cárdenas, L., and Quinto, C. (2017). Respiratory Burst Oxidase Homolog Gene A Is Crucial for Rhizobium Infection and Nodule Maturation and Function in Common Bean. Frontiers in plant science 8, 2003-2003."
MtRDN1,n/a,"Nod+/-, Nod*",n/a,"Schnabel et al., 2011",Enzyme (Transferase),ROOT DETERMINED NODULATION 1 (RDN1),"Psnod3, Ljplenty",RNAi,Medtr5g089520,Mtr.42387.1.S1_at,Lj2g3v3022970,Glyma.02G279600,Phvul.008G201100,Myc+,,"Schnabel, E.L., Kassaw, T.K., Smith, L.S., Marsh, J.F., Oldroyd, G.E., Long, S.R., and Frugoli, J.A. (2011). The ROOT DETERMINED NODULATION1 gene regulates nodule number in roots of Medicago truncatula and defines a highly conserved, uncharacterized plant gene family. Plant physiology 157, 328-340."
GmRj2/GmRFG1,Inf-,"Nod+/-, Nod*",n/a,"Yang et al., 2010",TIR-NBS-LRR,RESISTANCE GENE ANALOGUE (RFG1),rj2,"EMS, CRISPR","Medtr0019s0100, Medtr6g078480",Mtr.34431.1.S1_x_at,Lj2g3v0635030,Glyma.16G212300,"Phvul.004G028900,  Phvul.004G140800",n/a,,"Yang, S., Tang, F., Gao, M., Krishnan, H.B., and Zhu, H. (2010). R gene-controlled host specificity in the legume–rhizobia symbiosis. Proceedings of the National Academy of Sciences 107, 18735-18740."
GmRGS1,n/a,"Nod+/-, Nod*",n/a,"Choudhury and Pandey, 2015",GTPase activator,REGULATOR OF G-PROTEIN SIGNALING 1 (RGS1/RGS2),,RNAi,Medtr3g086170,Mtr.14624.1.S1_at,Lj6g3v0585700,"Glyma.11G245800, Glyma.18G011400",Phvul.001G257500,n/a,,"Choudhury, S.R., and Pandey, S. (2015). Phosphorylation-dependent regulation of G-protein cycle during nodule formation in soybean. The Plant Cell 27, 3260-3276."
GmRGS2,n/a,"Nod+/-, Nod*",n/a,"Choudhury and Pandey, 2015",GTPase activator,REGULATOR OF G-PROTEIN SIGNALING 1 (RGS1/RGS2),,RNAi,Medtr3g086170,Mtr.14624.1.S1_at,Lj6g3v0585700,"Glyma.11G245800, Glyma.18G011400",Phvul.001G257500,n/a,,"Choudhury, S.R., and Pandey, S. (2015). Phosphorylation-dependent regulation of G-protein cycle during nodule formation in soybean. The Plant Cell 27, 3260-3276."
LjRINRK1,"Inf-, Inf*","Nod+, Nod*",Fix-,"Li et al., 2019",atypical receptor kinase (LRR-RLK),Rhizobial Infection Receptor-like Kinase1,"itd4, alb1",EMS,Medtr3g078250,-,Lj1g3v0415090.1,Glyma.06G184400,Phvul.009G180700,n/a,,"Li, X., Zheng, Z., Kong, X., Xu, J., Qiu, L., Sun, J., Reid, D. E., Jin, H., Andersen, S. ., Oldroyd, G. E. D., et al., (2019). Atypical Receptor Kinase RINRK1 Required for Rhizobial Infection but not Nodule Development in Lotus japonicus. Plant Physiol., pp.00509.2019"
GmRj4,n/a,"Nod+/- (C), Nod*",n/a,"Tang et al., 2016",Thaumatin-like protein,REGULATORY GENE (Rj4),,CRSISPR/Cas9,Medtr8g056820,Mtr.19129.1.S1_at,-,Glyma.01G165800-D,Phvul.002G107900,n/a,,"Tang, F., Yang, S., Liu, J., and Zhu, H. (2016). Rj4, a Gene Controlling Nodulation Specificity in Soybeans, Encodes a Thaumatin-Like Protein But Not the One Previously Reported. Plant physiology 170, 26-32."
LjROP6,Inf+/-,Nod+/-,n/a,"Ke et al., 2012",Enzyme (Hydrolase),Rho family of small GTPases in plants (ROP6),,RNAi,Medtr8g075240,Msa.1185.1.S1_at,Lj2g3v1670990,Glyma.02G046100,Phvul.003G265200,n/a,,"Ke, D., Fang, Q., Chen, C., Zhu, H., Chen, T., Chang, X., Yuan, S., Kang, H., Ma, L., Hong, Z., and Zhang, Z. (2012). The small GTPase ROP6 interacts with NFR5 and is involved in nodule formation in Lotus japonicus. Plant physiology 159, 131-143."
MtRPG,"Inf+, Inf*","Nod+/-, Nod+",n/a,"Arrighi et al., 2008",Unknown (RRP domain),RHIZOBIUM-DIRECTED POLAR GROWTH (RPG),,EMS,Medtr1g090807,Mtr.1440.1.S1_at,Lj5g3v1699100,Glyma.10G198700,Phvul.007G145600,Myc+,,"Arrighi, J.-F., Godfroy, O., de Billy, F., Saurat, O., Jauneau, A., and Gough, C. (2008). The RPG gene of Medicago truncatula controls Rhizobium-directed polar growth during infection. Proceedings of the National Academy of Sciences 105, 9817-9822."
MtRR5MtRR9/MtRR11,n/a,Nod+/-,n/a,"Op Den Camp et al., 2011",Response regulator,RESPONSE REGULATOR (RR5/9/11),,RNAi,"Medtr4g051330, Medtr3g015490",,Lj3g3v0765990,Glyma.11G155100,"Phvul.005G027100, Phvul.011G207200",n/a,,"Op den Camp, R.H.M., De Mita, S., Lillo, A., Cao, Q., Limpens, E., Bisseling, T., and Geurts, R. (2011). A Phylogenetic Strategy Based on a Legume-Specific Whole Genome Duplication Yields Symbiotic Cytokinin Type-A Response Regulators. Plant Physiology 157, 2013-2022."
MtRSD,Inf+,"Nod+, Nod*, White++","Fix-, Fix*","Sinharoy et al., 2013",TF (C2H2 Family),REGULATOR OF SYMBIOSOME DIFFERENTIATION (RSD),,Tnt1,Medtr7g063220,-,Lj6g3v0056720,Glyma.07G135800,Phvul.008G117400,n/a,,"Sinharoy, S., Torres-Jerez, I., Bandyopadhyay, K., Kereszt, A., Pislariu, C.I., Nakashima, J., Benedito, V.A., Kondorosi, E., and Udvardi, M.K. (2013). The C2H2 transcription factor regulator of symbiosome differentiation represses transcription of the secretory pathway gene VAMP721a and promotes symbiosome development in Medicago truncatula. Plant Cell 25, 3584-3601."
GmSACPD-C,n/a,"Nod+, Nod*",Fix+,"Gillman et al., 2014",Enzyme (Oxidoreductase),STEAROYL-ACYL CARRIER PROTEIN DESATURASE ISOFORM C (SACPD-C),,"X-ray, FNB",Medtr1g029150,Mtr.44565.1.S1_at,Lj1g3v0264200.1,Glyma.14G121400,Phvul.001G064100,n/a,,"Gillman, J.D., Stacey, M.G., Cui, Y., Berg, H.R., and Stacey, G. (2014). Deletions of the SACPD-C locus elevate seed stearic acid levels but also result in fatty acid and morphological alterations in nitrogen fixing nodules. BMC Plant Biology 14, 143."
GmbHLHm1,n/a,"Nod+/-, Nod*",n/a,"Chiasson et al., 2014",TF (bHLH motif containing),SYMBIOTIC AMMONIA TRANSPORTER (SAT1),"GmSAT1, GmbHLHm1",RNAi,Medtr2g010450,Mtr.4545.1.S1_s_at; Mtr.16587.1.S1_at,Lj6g3v2171830,Glyma.13G253500,Phvul.006G198400,n/a,,"Chiasson, D.M., Loughlin, P.C., Mazurkiewicz, D., Mohammadidehcheshmeh, M., Fedorova, E.E., Okamoto, M., McLean, E., Glass, A.D.M., Smith, S.E., Bisseling, T., Tyerman, S.D., Day, D.A., and Kaiser, B.N. (2014). Soybean SAT1 (Symbiotic Ammonium Transporter 1) encodes a bHLH transcription factor involved in nodule growth and NH4+ transport. Proceedings of the National Academy of Sciences of the United States of America 111, 4814-4819."
LjSCARN,Inf+/-,"Nod+/-, White++",Fix-,"Qiu et al., 2015",SCAR/WAVE complex component,SCAR NODULATION (SCARN),,EMS TILLING,Medtr4g132350,-,Lj4g3v0137740,"Glyma.17G012100, Glyma.07G262000",Phvul.003G080300,Myc+,,"Qiu L, Lin JS, Xu J, Sato S, Parniske M, Wang TL, Downie JA, Xie F (2015) SCARN a novel class of SCAR protein that is required for root-hair infection during legume nodulation. PLoS Genet 11: e1005623"
LjSEN1,n/a,"Nod++, White++",Fix-,"Hakoyama et al., 2011",Transporter (Vacuolar Iron),STATIONARY ENDOSYMBIONT NODULE 1 (SEN1),,EMS,Medtr4g094335,-,GenBank: BAL46698.1,Glyma.08G076300,Phvul.002G205200,n/a,,"Kouchi, H., Kumagai, H., Umehara, Y., Hakoyama, T., Niimi, K., Isobe, S., Yamamoto, T., Suganuma, N., Tabata, S., Sato, S., Nakamura, Y., Stougaard, J., Sandal, N., Petersen, T.R., Brossuleit, K., Udvardi, M.K., Tamaoki, M., and Kawaguchi, M. (2011). The Integral Membrane Protein SEN1 is Required for Symbiotic Nitrogen Fixation in Lotus japonicus Nodules. Plant and Cell Physiology 53, 225-236."
MtSER6,n/a,n/a,Fix+/-,"Dhanoushkodi et al., 2018",Enzyme (Serine protease inhibitor),SERPIN (SER6),,RNAi,Medtr3g101010,Mtr.10641.1.S1_at,Lj0g3v0283759,Glyma.04G036200,Phvul.009G062300,n/a,,"Dhanushkodi, R., Matthew, C., McManus, M.T., and Dijkwel, P.P. (2018). Drought-induced senescence of Medicago truncatula nodules involves serpin and ferritin to control proteolytic activity and iron levels. New Phytol 220, 196-208."
GmSGF14c/GmSGF14l,n/a,"Nod+/-, Nod*, White++",Fix*,"Radwan et al., 2012",Transcriptional regulators,Soybean G-BOX FACTOR 14-3-3 (SGF14c/SGF14l),,RNAi,Medtr8g086270,Mtr.50682.1.S1_at,Lj4g3v2604540,Glyma.08G115800,Phvul.002G238300,n/a,,"Radwan, O., Wu, X., Govindarajulu, M., Libault, M., Neece, D.J., Oh, M.-H., Berg, R.H., Stacey, G., Taylor, C.G., Huber, S.C., and Clough, S.J. (2012). 14-3-3 Proteins SGF14c and SGF14l Play Critical Roles during Soybean Nodulation. Plant Physiology 160, 2125-2136."
MtSGR,n/a,Nod++,Fix+,"Zhou et al., 2011",Unknown ,STAYGREEN (SGR),,Tnt1,Medtr5g011120,Mtr.40782.1.S1_at,"Lj4g3v1287250.1, Lj2g3v2003030.1",Glyma.01G214600,Phvul.002G153100,n/a,,"Zhou, C., Han, L., Pislariu, C., Nakashima, J., Fu, C., Jiang, Q., Quan, L., Blancaflor, E.B., Tang, Y., Bouton, J.H., Udvardi, M., Xia, G., and Wang, Z.-Y. (2011). From Model to Crop: Functional Analysis of a STAY-GREEN Gene in the Model Legume Medicago truncatula and Effective Use of the Gene for Alfalfa Improvement. Plant Physiology 157, 1483-1496."
LjSIE3,Inf+/-,Nod+/-,Fix+,"Yuan et al., 2012",Enzyme (Ligase),SYMRK INTERACTING E3 UBIQUITIN LIGASE (SIE3),,RNAi,Medtr8g067470,-,Lj0g3v0301709,Glyma.01G097700,Phvul.003G286000,n/a,,"Yuan, S., Zhu, H., Gou, H., Fu, W., Liu, L., Chen, T., Ke, D., Kang, H., Xie, Q., Hong, Z., and Zhang, Z. (2012). A Ubiquitin Ligase of Symbiosis Receptor Kinase Involved in Nodule Organogenesis. Plant Physiology 160, 106-117."
PvSIN1,Inf+/-,"Nod+/-, Nod*",Fix+,"Battaglia et al., 2014",TF (GRAS family),SCARECROW LIKE-13 INVOLVED IN NODULATION 1 (SIN1),,RNAi,Medtr4g133660,Mtr.43223.1.S1_at,Lj4g3v0119780,Glyma.07G266500,Phvul.003G085000,n/a,,"Battaglia, M., Rípodas, C., Clúa, J., Baudin, M., Aguilar, O.M., Niebel, A., Zanetti, M.E., and Blanco, F.A. (2014). A nuclear factor Y interacting protein of the GRAS family is required for nodule organogenesis, infection thread progression, and lateral root growth. Plant physiology 164, 1430-1442."
LjSIP1,Inf+,Nod+/-,n/a,"Wang et. at., 2013",TF (ARID domain containing),SYMRK INTERACTING PROTEIN 1 (SIP1),,RNAi,Medtr3g116200,Mtr.51416.1.S1_at,Lj1g3v3404420,Glyma.06G013900,Phvul.009G008800,Myc+/-,,"Wang, C., Zhu, H., Jin, L., Chen, T., Wang, L., Kang, H., Hong, Z., and Zhang, Z. (2013). Splice variants of the SIP1 transcripts play a role in nodule organogenesis in Lotus japonicus. Plant Mol Biol 82, 97-111."
LjSIP2,Inf+/-,Nod+/-,n/a,"Chen et al., 2012",Enzyme (MAPKK),SYMRK INTERACTING PROTEIN 2 (SIP2),,RNAi,Medtr4g005830,Mtr.480.1.S1_at,Lj3g3v2040150,Glyma.07G003200,Phvul.010G163000,Myc+,,"Chen, T., Zhu, H., Ke, D., Cai, K., Wang, C., Gou, H., Hong, Z., and Zhang, Z. (2012). A MAP Kinase Kinase Interacts with SymRK and Regulates Nodule Organogenesis in Lotus japonicus. The Plant Cell 24, 823-838."
MtSNARP2,Inf+,"Nod+, White++","Fix+/-, Fix*","Laporte et al., 2010",Peptide ,SMALL NODULIN ACIDIC RNA-BINDING PROTEIN 2 (SNARP2),,RNAi,Medtr7g056527,Mtr.31736.1.S1_at,-,-,-,n/a,,"Laporte P., Satiat-Jeunemaître B., Velasco I., Csorba T., Van de Velde W., Campalans A., et al. (2010). A novel RNA-binding peptide regulates the establishment of the Medicago truncatula–Sinorhizobium meliloti nitrogen-fixing symbiosis. Plant J. 62 24–38. 10.1111/j.1365-313X.2009.04121.x"
