locus_tag	ftype	length_bp	gene	EC_number	COG	product
WSM1022_05337	CDS	777	proC_2	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
WSM1022_05338	CDS	1071	ugpC_11	7.6.2.10	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
WSM1022_05339	CDS	2265	lacZ	3.2.1.23		Beta-galactosidase
WSM1022_05340	CDS	819	lacG			Lactose transport system permease protein LacG
WSM1022_05341	CDS	897	lacF_6			Lactose transport system permease protein LacF
WSM1022_05342	CDS	1275	lacE			Lactose-binding protein
WSM1022_05343	CDS	249				hypothetical protein
WSM1022_05344	CDS	414	fitB_3	3.1.-.-		Toxin FitB
WSM1022_05345	CDS	1080	melR		COG1609	HTH-type transcriptional repressor MelR
WSM1022_05346	CDS	942	rhaR_7			HTH-type transcriptional activator RhaR
WSM1022_05347	CDS	1473	melA_1	3.2.1.22	COG1486	Alpha-galactosidase
WSM1022_05348	CDS	2082	agpA_1			Periplasmic alpha-galactoside-binding protein
WSM1022_05349	CDS	1014	gsiC_17		COG0601	Glutathione transport system permease protein GsiC
WSM1022_05350	CDS	1128				hypothetical protein
WSM1022_05351	CDS	1671	yejF_2		COG4172	putative ABC transporter ATP-binding protein YejF
WSM1022_05352	CDS	1374	melA_2	3.2.1.22	COG1486	Alpha-galactosidase
WSM1022_05353	CDS	516				hypothetical protein
WSM1022_05354	CDS	921	paaX		COG3327	Transcriptional repressor PaaX
WSM1022_05355	CDS	90				hypothetical protein
WSM1022_05356	CDS	999	paaA	1.14.13.149	COG3396	1,2-phenylacetyl-CoA epoxidase, subunit A
WSM1022_05357	CDS	285	paaB		COG3460	1,2-phenylacetyl-CoA epoxidase, subunit B
WSM1022_05358	CDS	786	paaC		COG3396	1,2-phenylacetyl-CoA epoxidase, subunit C
WSM1022_05359	CDS	525	paaD		COG2151	Putative 1,2-phenylacetyl-CoA epoxidase, subunit D
WSM1022_05360	CDS	1077	paaE	1.-.-.-	COG1018	1,2-phenylacetyl-CoA epoxidase, subunit E
WSM1022_05361	CDS	2067	paaZ_1		COG2030	Bifunctional protein PaaZ
WSM1022_05362	CDS	501				hypothetical protein
WSM1022_05363	CDS	792	paaG	5.3.3.18	COG1024	1,2-epoxyphenylacetyl-CoA isomerase
WSM1022_05364	CDS	1317	fadJ_2		COG1024	Fatty acid oxidation complex subunit alpha
WSM1022_05365	CDS	1098	nspC	4.1.1.96	COG0019	Carboxynorspermidine/carboxyspermidine decarboxylase
WSM1022_05366	CDS	1242		1.5.1.43		Carboxynorspermidine synthase
WSM1022_05367	CDS	960	ccpA_4		COG1609	Catabolite control protein A
WSM1022_05368	CDS	1236	dasA		COG1653	Diacetylchitobiose binding protein DasA
WSM1022_05369	CDS	918	lacF_7			Lactose transport system permease protein LacF
WSM1022_05370	CDS	864	dasC_5		COG0395	Diacetylchitobiose uptake system permease protein DasC
WSM1022_05371	CDS	1923	hypBA1	3.2.1.185		Non-reducing end beta-L-arabinofuranosidase
WSM1022_05372	CDS	1086	malK_8	7.5.2.1		Maltose/maltodextrin import ATP-binding protein MalK
WSM1022_05373	CDS	270				hypothetical protein
WSM1022_05374	CDS	309				hypothetical protein
WSM1022_05375	CDS	987	rclR		COG2207	RCS-specific HTH-type transcriptional activator RclR
WSM1022_05376	CDS	1206	nepI_2		COG2814	Purine ribonucleoside efflux pump NepI
WSM1022_05377	CDS	606	thiE_2	2.5.1.3	COG0352	Thiamine-phosphate synthase
WSM1022_05378	CDS	774	thiG	2.8.1.10	COG2022	Thiazole synthase
WSM1022_05379	CDS	198				hypothetical protein
WSM1022_05380	CDS	978	mnmC_1	2.1.1.61		tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
WSM1022_05381	CDS	1836	thiC	4.1.99.17	COG0422	Phosphomethylpyrimidine synthase
WSM1022_05382	CDS	2022				hypothetical protein
WSM1022_05383	CDS	1383	dctD_1			C4-dicarboxylate transport transcriptional regulatory protein DctD
WSM1022_05384	CDS	1926	dctB_1	2.7.13.3		C4-dicarboxylate transport sensor protein DctB
WSM1022_05385	CDS	1362	dctA			C4-dicarboxylate transport protein
WSM1022_05386	CDS	924	rcsC_12	2.7.13.3		Sensor histidine kinase RcsC
WSM1022_05387	CDS	3381	rcsC_13	2.7.13.3		Sensor histidine kinase RcsC
WSM1022_05388	CDS	339				hypothetical protein
WSM1022_05389	CDS	465				hypothetical protein
WSM1022_05390	CDS	450				hypothetical protein
WSM1022_05391	CDS	1293	amiC_2			Aliphatic amidase expression-regulating protein
WSM1022_05392	CDS	1614				hypothetical protein
WSM1022_05393	CDS	1176				hypothetical protein
WSM1022_05394	CDS	753	lptB_3	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
WSM1022_05395	CDS	696	livF_5		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
WSM1022_05396	CDS	429				hypothetical protein
WSM1022_05397	CDS	1062	noc_2			Nucleoid occlusion protein
WSM1022_05398	CDS	1266				hypothetical protein
WSM1022_05399	CDS	420	yqjF_2		COG2259	Inner membrane protein YqjF
WSM1022_05400	CDS	2841				hypothetical protein
WSM1022_05401	CDS	318	mauC			Amicyanin
WSM1022_05402	CDS	525				hypothetical protein
WSM1022_05403	CDS	684				hypothetical protein
WSM1022_05404	CDS	285	acyP	3.6.1.7	COG1254	Acylphosphatase
WSM1022_05405	CDS	1206	pcaF	2.3.1.174		Beta-ketoadipyl-CoA thiolase
WSM1022_05406	CDS	786	catJ	2.8.3.6		3-oxoadipate CoA-transferase subunit B
WSM1022_05407	CDS	861	catI	2.8.3.6		3-oxoadipate CoA-transferase subunit A
WSM1022_05408	CDS	756	pcaR_2		COG1414	Pca regulon regulatory protein
WSM1022_05409	CDS	1746	ggt_2	3.4.19.13		Glutathione hydrolase proenzyme
WSM1022_05410	CDS	720	msrP_3	1.8.5.-		Protein-methionine-sulfoxide reductase catalytic subunit MsrP
WSM1022_05411	CDS	1173	pobA	1.14.13.2		p-hydroxybenzoate hydroxylase
WSM1022_05412	CDS	921				hypothetical protein
WSM1022_05413	CDS	1890				hypothetical protein
WSM1022_05414	CDS	942	gbpR_1			HTH-type transcriptional regulator GbpR
WSM1022_05415	CDS	807	catD_2	3.1.1.24	COG0596	3-oxoadipate enol-lactonase 2
WSM1022_05416	CDS	408				hypothetical protein
WSM1022_05417	CDS	762	pcaH_2	1.13.11.3	COG3485	Protocatechuate 3,4-dioxygenase beta chain
WSM1022_05418	CDS	615	pcaG_2	1.13.11.3	COG3485	Protocatechuate 3,4-dioxygenase alpha chain
WSM1022_05419	CDS	1056	pcaB	5.5.1.2	COG0015	3-carboxy-cis,cis-muconate cycloisomerase
WSM1022_05420	CDS	2628	treY	5.4.99.15		Maltooligosyl trehalose synthase
WSM1022_05421	CDS	558	msuE	1.5.1.38	COG0431	FMN reductase (NADPH)
WSM1022_05422	CDS	1350	ntaA_2	1.14.14.10		Nitrilotriacetate monooxygenase component A
WSM1022_05423	CDS	846	ssuC_3		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
WSM1022_05424	CDS	993				hypothetical protein
WSM1022_05425	CDS	771	ssuB_2	3.6.3.-	COG1116	Aliphatic sulfonates import ATP-binding protein SsuB
WSM1022_05426	CDS	1173	braC		COG0683	Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein
WSM1022_05427	CDS	864	livH_6		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
WSM1022_05428	CDS	1002				hypothetical protein
WSM1022_05429	CDS	765	lptB_4	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
WSM1022_05430	CDS	717	livF_6		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
WSM1022_05431	CDS	966				IS110 family transposase ISEc32
WSM1022_05432	CDS	1950				hypothetical protein
WSM1022_05433	CDS	3603				hypothetical protein
WSM1022_05434	CDS	546				hypothetical protein
WSM1022_05435	CDS	687	rspR_7		COG1802	HTH-type transcriptional repressor RspR
WSM1022_05436	CDS	1047	pdxA2_2	1.1.1.409	COG1995	D-erythronate 4-phosphate dehydrogenase
WSM1022_05437	CDS	987				hypothetical protein
WSM1022_05438	CDS	501				hypothetical protein
WSM1022_05439	CDS	1539				hypothetical protein
WSM1022_05440	CDS	942				hypothetical protein
WSM1022_05441	CDS	1719	lerK	2.7.1.209	COG2376	L-erythrulose kinase
WSM1022_05442	CDS	615	vat_2	2.3.1.-		Virginiamycin A acetyltransferase
WSM1022_05443	CDS	708	phnL	2.7.8.37	COG4778	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL
WSM1022_05444	CDS	777	phnK		COG4107	Putative phosphonates utilization ATP-binding protein PhnK
WSM1022_05445	CDS	894	phnJ	4.7.1.1	COG3627	Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase
WSM1022_05446	CDS	1107	phnI	2.7.8.37	COG3626	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI
WSM1022_05447	CDS	603	phnH	2.7.8.37	COG3625	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnH
WSM1022_05448	CDS	468	phnG	2.7.8.37	COG3624	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG
WSM1022_05449	CDS	735	mngR		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
WSM1022_05450	CDS	2139	bhbA	5.4.99.2		Methylmalonyl-CoA mutase
WSM1022_05451	CDS	2013	accA1_1		COG4770	Acetyl-/propionyl-coenzyme A carboxylase alpha chain
WSM1022_05452	CDS	1533	pccB	6.4.1.3	COG4799	Propionyl-CoA carboxylase beta chain
WSM1022_05453	CDS	1419	pccR		COG1396	Propionyl-CoA carboxylase regulator
WSM1022_05454	CDS	1143	acdA_2	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
WSM1022_05455	CDS	1071	caiD_2	4.2.1.149		Carnitinyl-CoA dehydratase
WSM1022_05456	CDS	897	mmsB	1.1.1.31	COG2084	putative 3-hydroxyisobutyrate dehydrogenase
WSM1022_05457	CDS	750	gno_3	1.1.1.-		Gluconate 5-dehydrogenase
WSM1022_05458	CDS	1476	mtlK_2	1.1.1.67	COG0246	Mannitol 2-dehydrogenase
WSM1022_05459	CDS	1065				hypothetical protein
WSM1022_05460	CDS	675	hxpA	3.1.3.22	COG0637	Hexitol phosphatase A
WSM1022_05461	CDS	186				hypothetical protein
WSM1022_05462	CDS	1035	glnII	6.3.1.2	COG0174	Glutamine synthetase
WSM1022_05463	CDS	231				hypothetical protein
WSM1022_05464	CDS	414				hypothetical protein
WSM1022_05465	CDS	210				hypothetical protein
WSM1022_05466	CDS	165				hypothetical protein
WSM1022_05467	CDS	1518				hypothetical protein
WSM1022_05468	CDS	492				hypothetical protein
WSM1022_05469	CDS	945				hypothetical protein
WSM1022_05470	CDS	1068				hypothetical protein
WSM1022_05471	CDS	678	qseB			Transcriptional regulatory protein QseB
WSM1022_05472	CDS	1398				hypothetical protein
WSM1022_05473	CDS	951	rbsB_6		COG1879	Ribose import binding protein RbsB
WSM1022_05474	CDS	1011	rbsC_18		COG1172	Ribose import permease protein RbsC
WSM1022_05475	CDS	1527	rbsA_12	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
WSM1022_05476	CDS	1026	cytR_5		COG1609	HTH-type transcriptional repressor CytR
WSM1022_05477	CDS	897				hypothetical protein
WSM1022_05478	CDS	891	hdfR_8			HTH-type transcriptional regulator HdfR
WSM1022_05479	CDS	123				hypothetical protein
WSM1022_05480	CDS	1026	rbsC_19		COG1172	Ribose import permease protein RbsC
WSM1022_05481	CDS	1542	mglA_6	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
WSM1022_05482	CDS	930	thpA		COG1879	D-threitol-binding protein
WSM1022_05483	CDS	813				hypothetical protein
WSM1022_05484	CDS	888	garR_3	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
WSM1022_05485	CDS	558		3.2.2.-	COG2094	Putative 3-methyladenine DNA glycosylase
WSM1022_05486	CDS	552	ogt_2	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase
WSM1022_05487	CDS	1266				hypothetical protein
WSM1022_05488	CDS	777	artI_2		COG0834	Putative ABC transporter arginine-binding protein 2
WSM1022_05489	CDS	912	ribN_4			Riboflavin transporter
WSM1022_05490	CDS	1461	glgA1_2	2.4.1.21	COG0297	Glycogen synthase 1
WSM1022_05491	CDS	462				hypothetical protein
WSM1022_05492	CDS	1572				hypothetical protein
WSM1022_05493	CDS	753				hypothetical protein
WSM1022_05494	CDS	414				hypothetical protein
WSM1022_05495	CDS	1098	emrA_3			Colistin resistance protein EmrA
WSM1022_05496	CDS	1653	emrB_2			Colistin resistance protein EmrB
WSM1022_05497	CDS	1695	rocB		COG4187	Protein RocB
WSM1022_05498	CDS	486				hypothetical protein
WSM1022_05499	CDS	279				hypothetical protein
WSM1022_05500	CDS	177	betA_5	1.2.1.8		Oxygen-dependent choline dehydrogenase
WSM1022_05501	CDS	213	kduD_3	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
WSM1022_05502	CDS	807	gno_4	1.1.1.-		Gluconate 5-dehydrogenase
WSM1022_05503	CDS	345				hypothetical protein
WSM1022_05504	CDS	774	xthA_4	3.1.11.2	COG0708	Exodeoxyribonuclease III
WSM1022_05505	CDS	642				hypothetical protein
WSM1022_05506	CDS	1086				hypothetical protein
WSM1022_05507	CDS	885	ku_2		COG1273	Non-homologous end joining protein Ku
WSM1022_05508	CDS	2457	ligD_2		COG1793	Multifunctional non-homologous end joining protein LigD
WSM1022_05509	CDS	837	allE	3.5.3.26	COG3257	(S)-ureidoglycine aminohydrolase
WSM1022_05510	CDS	900	benM			HTH-type transcriptional regulator BenM
WSM1022_05511	CDS	822	iclR		COG1414	Transcriptional repressor IclR
WSM1022_05512	CDS	1785	gcl	4.1.1.47	COG3960	Glyoxylate carboligase
WSM1022_05513	CDS	816	hyi	5.3.1.22	COG3622	Hydroxypyruvate isomerase
WSM1022_05514	CDS	885	glxR_3	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
WSM1022_05515	CDS	1269	ttuD_2	1.1.1.81		Putative hydroxypyruvate reductase
WSM1022_05516	CDS	492	allA_1	4.3.2.3	COG3194	Ureidoglycolate lyase
WSM1022_05517	CDS	942				hypothetical protein
WSM1022_05518	CDS	576				hypothetical protein
WSM1022_05519	CDS	1020	purR_2		COG1609	HTH-type transcriptional repressor PurR
WSM1022_05520	CDS	1581	mglA_7	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
WSM1022_05521	CDS	1323				hypothetical protein
WSM1022_05522	CDS	969				hypothetical protein
WSM1022_05523	CDS	408				hypothetical protein
WSM1022_05524	CDS	1260				hypothetical protein
WSM1022_05525	CDS	516				IS630 family transposase ISRm2011-2
WSM1022_05526	CDS	1278	otnK	2.7.1.217	COG3395	3-oxo-tetronate kinase
WSM1022_05527	CDS	777	otnI	5.3.1.35	COG3622	2-oxo-tetronate isomerase
WSM1022_05528	CDS	906	ltnD_2	1.1.1.411	COG2084	L-threonate dehydrogenase
WSM1022_05529	CDS	1056	gntR			HTH-type transcriptional regulator GntR
WSM1022_05530	CDS	678	otnC	4.1.1.104	COG0235	3-oxo-tetronate 4-phosphate decarboxylase
WSM1022_05531	CDS	765	nanR_6		COG2186	HTH-type transcriptional repressor NanR
WSM1022_05532	CDS	984	denD_2	1.1.1.410	COG0451	D-erythronate dehydrogenase
WSM1022_05533	CDS	777		1.1.1.393	COG1028	3-beta-hydroxycholanate 3-dehydrogenase (NADP(+))
WSM1022_05534	CDS	1068	ugpC_12	7.6.2.10	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
WSM1022_05535	CDS	1305				hypothetical protein
WSM1022_05536	CDS	933	sugA_5		COG1175	Trehalose transport system permease protein SugA
WSM1022_05537	CDS	900	ycjP_2		COG0395	Inner membrane ABC transporter permease protein YcjP
WSM1022_05538	CDS	657				hypothetical protein
WSM1022_05539	CDS	915				hypothetical protein
WSM1022_05540	CDS	477				hypothetical protein
WSM1022_05541	CDS	177				hypothetical protein
WSM1022_05542	CDS	201				hypothetical protein
WSM1022_05543	CDS	1938	asnB_2	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 1
WSM1022_05544	CDS	267				hypothetical protein
WSM1022_05545	CDS	1548	lcfB_2	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
WSM1022_05546	CDS	1005	nadE_2	6.3.1.5		NH(3)-dependent NAD(+) synthetase
WSM1022_05547	CDS	180				hypothetical protein
WSM1022_05548	CDS	1044	yhdN_3	1.1.1.-	COG0667	Aldo-keto reductase YhdN
WSM1022_05549	CDS	252				hypothetical protein
WSM1022_05550	CDS	750	minC		COG0850	Septum site-determining protein MinC
WSM1022_05551	CDS	816	minD		COG2894	Septum site-determining protein MinD
WSM1022_05552	CDS	264	minE		COG0851	Cell division topological specificity factor
WSM1022_05553	CDS	459				hypothetical protein
WSM1022_05554	CDS	660	degU_3		COG2197	Transcriptional regulatory protein DegU
WSM1022_05555	CDS	1413				hypothetical protein
WSM1022_05556	CDS	732				hypothetical protein
WSM1022_05557	CDS	816	pdeA	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeA
WSM1022_05558	CDS	621				hypothetical protein
WSM1022_05559	CDS	1122				hypothetical protein
WSM1022_05560	CDS	735	prmC_3	2.1.1.297		Release factor glutamine methyltransferase
WSM1022_05561	CDS	1311				hypothetical protein
WSM1022_05562	CDS	1149				hypothetical protein
WSM1022_05563	CDS	903	dapA_6	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
WSM1022_05564	CDS	1533				hypothetical protein
WSM1022_05565	CDS	1332				hypothetical protein
WSM1022_05566	CDS	756				hypothetical protein
WSM1022_05567	CDS	1230	mshA_7	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
WSM1022_05568	CDS	249				hypothetical protein
WSM1022_05569	CDS	141				hypothetical protein
WSM1022_05570	CDS	297	parE1_2		COG3668	Toxin ParE1
WSM1022_05571	CDS	396				hypothetical protein
WSM1022_05572	CDS	1170				hypothetical protein
WSM1022_05573	CDS	390				hypothetical protein
WSM1022_05574	CDS	1044				hypothetical protein
WSM1022_05575	CDS	2160				hypothetical protein
WSM1022_05576	CDS	3234	bepG			Efflux pump membrane transporter BepG
WSM1022_05577	CDS	1122	mdtE			Multidrug resistance protein MdtE
WSM1022_05578	CDS	1167				hypothetical protein
WSM1022_05579	CDS	162				hypothetical protein
WSM1022_05580	CDS	1068	ocd	4.3.1.12		Ornithine cyclodeaminase
WSM1022_05581	CDS	462	asnC		COG1522	Regulatory protein AsnC
WSM1022_05582	CDS	621				hypothetical protein
WSM1022_05583	CDS	531				hypothetical protein
WSM1022_05584	CDS	792				hypothetical protein
WSM1022_05585	CDS	165				hypothetical protein
WSM1022_05586	CDS	402				hypothetical protein
WSM1022_05587	CDS	633	cyoC_2		COG1845	Cytochrome bo(3) ubiquinol oxidase subunit 3
WSM1022_05588	CDS	2010	cyoB	7.1.1.3	COG0843	Cytochrome bo(3) ubiquinol oxidase subunit 1
WSM1022_05589	CDS	1161	cyoA		COG1622	Cytochrome bo(3) ubiquinol oxidase subunit 2
WSM1022_05590	CDS	1341	yhjE_2			Inner membrane metabolite transport protein YhjE
WSM1022_05591	CDS	189				hypothetical protein
WSM1022_05592	CDS	177				hypothetical protein
WSM1022_05593	CDS	522	ecfG_5			ECF RNA polymerase sigma factor EcfG
WSM1022_05594	CDS	282				hypothetical protein
WSM1022_05595	CDS	264				hypothetical protein
WSM1022_05596	CDS	477	IMPDH_2	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
WSM1022_05597	CDS	261				hypothetical protein
WSM1022_05598	CDS	303				hypothetical protein
WSM1022_05599	CDS	90				hypothetical protein
WSM1022_05600	CDS	1182				hypothetical protein
WSM1022_05601	CDS	783	fabG_17	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
WSM1022_05602	CDS	372				hypothetical protein
WSM1022_05603	CDS	540				hypothetical protein
WSM1022_05604	CDS	249				hypothetical protein
WSM1022_05605	CDS	282				hypothetical protein
WSM1022_05606	CDS	252				hypothetical protein
WSM1022_05607	CDS	1098				hypothetical protein
WSM1022_05608	CDS	339				hypothetical protein
WSM1022_05609	CDS	1749	prsD_2			Type I secretion system ATP-binding protein PrsD
WSM1022_05610	CDS	1320	prsE_3			Type I secretion system membrane fusion protein PrsE
WSM1022_05611	CDS	774	yurK_2		COG2188	putative HTH-type transcriptional regulator YurK
WSM1022_05612	CDS	1386	licH	3.2.1.86	COG1486	putative 6-phospho-beta-glucosidase
WSM1022_05613	CDS	936	kdgK_2	2.7.1.45		2-dehydro-3-deoxygluconokinase
WSM1022_05614	CDS	1263			COG1653	putative ABC transporter-binding protein
WSM1022_05615	CDS	1113	malK_9	7.5.2.1	COG3839	Maltose/maltodextrin import ATP-binding protein MalK
WSM1022_05616	CDS	894	sugA_6		COG1175	Trehalose transport system permease protein SugA
WSM1022_05617	CDS	876	sugB_4		COG0395	Trehalose transport system permease protein SugB
WSM1022_05618	CDS	438				hypothetical protein
WSM1022_05619	CDS	1278				hypothetical protein
WSM1022_05620	CDS	270				hypothetical protein
WSM1022_05621	CDS	177				hypothetical protein
WSM1022_05622	CDS	336				hypothetical protein
WSM1022_05623	CDS	216				hypothetical protein
WSM1022_05624	CDS	540				hypothetical protein
WSM1022_05625	CDS	723				hypothetical protein
WSM1022_05626	CDS	642				hypothetical protein
WSM1022_05627	CDS	1806	treZ	3.2.1.141	COG0296	Malto-oligosyltrehalose trehalohydrolase
WSM1022_05628	CDS	2097	glgX_2	3.2.1.-	COG1523	Glycogen operon protein GlgX 
WSM1022_05629	CDS	1143				hypothetical protein
WSM1022_05630	CDS	744				hypothetical protein
WSM1022_05631	CDS	315				hypothetical protein
WSM1022_05632	CDS	441	hrp1		COG0517	Hypoxic response protein 1
WSM1022_05633	CDS	363				hypothetical protein
WSM1022_05634	CDS	435				hypothetical protein
WSM1022_05635	CDS	393	yabJ_3	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
WSM1022_05636	CDS	999	yiaO_2		COG1638	2,3-diketo-L-gulonate-binding periplasmic protein YiaO
WSM1022_05637	CDS	477	yiaM_2		COG3090	2,3-diketo-L-gulonate TRAP transporter small permease protein YiaM
WSM1022_05638	CDS	1281	dctM_5		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
WSM1022_05639	CDS	1245	hyuC_3	3.5.1.87	COG0624	N-carbamoyl-L-amino-acid hydrolase
WSM1022_05640	CDS	921	argP			HTH-type transcriptional regulator ArgP
WSM1022_05641	CDS	810	COQ5_7	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
WSM1022_05642	CDS	1134				hypothetical protein
WSM1022_05643	CDS	1068	hmuU_2		COG0609	Hemin transport system permease protein HmuU
WSM1022_05644	CDS	762	fecE_2		COG1120	Fe(3+) dicitrate transport ATP-binding protein FecE
WSM1022_05645	CDS	540	rfbC_1	5.1.3.13	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase
WSM1022_05646	CDS	489	dapH	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
WSM1022_05647	CDS	843	hldD_2	5.1.3.20		ADP-L-glycero-D-manno-heptose-6-epimerase
WSM1022_05648	CDS	777		2.1.1.-	COG3510	Rhamnosyl O-methyltransferase
WSM1022_05649	CDS	1737	cocE	3.1.1.84		Cocaine esterase
WSM1022_05650	CDS	996	araH_1		COG1172	L-arabinose transport system permease protein AraH
WSM1022_05651	CDS	1497	araG_2	7.5.2.12	COG1129	Arabinose import ATP-binding protein AraG
WSM1022_05652	CDS	1062				hypothetical protein
WSM1022_05653	CDS	1428	araA_2	5.3.1.4		L-arabinose isomerase
WSM1022_05654	CDS	228				hypothetical protein
WSM1022_05655	CDS	882	rhaS_5			HTH-type transcriptional activator RhaS
WSM1022_05656	CDS	1233				hypothetical protein
WSM1022_05657	CDS	1071	rfbG	4.2.1.45	COG0451	CDP-glucose 4,6-dehydratase
WSM1022_05658	CDS	807	rfbF_1	2.7.7.33	COG1208	Glucose-1-phosphate cytidylyltransferase
WSM1022_05659	CDS	1440		1.5.3.6		6-hydroxy-D-nicotine oxidase
WSM1022_05660	CDS	1422		4.1.1.105	COG0076	Tryptophan decarboxylase
WSM1022_05661	CDS	468				hypothetical protein
WSM1022_05662	CDS	363				hypothetical protein
WSM1022_05663	CDS	276				hypothetical protein
WSM1022_05664	CDS	801	COQ5_8	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
WSM1022_05665	CDS	360				hypothetical protein
WSM1022_05666	CDS	819	ku_3		COG1273	Non-homologous end joining protein Ku
WSM1022_05667	CDS	885	ku_4		COG1273	Non-homologous end joining protein Ku
WSM1022_05668	CDS	510	ycaC_2	4.-.-.-	COG1335	putative hydrolase YcaC
WSM1022_05669	CDS	234				hypothetical protein
WSM1022_05670	CDS	111				hypothetical protein
WSM1022_05671	CDS	1164	cya_3		COG2931	Bifunctional hemolysin/adenylate cyclase
WSM1022_05672	CDS	213				hypothetical protein
WSM1022_05673	CDS	234				hypothetical protein
WSM1022_05674	CDS	174				hypothetical protein
WSM1022_05675	CDS	276				hypothetical protein
WSM1022_05676	CDS	381				hypothetical protein
WSM1022_05677	CDS	1173				IS481 family transposase ISHne2
WSM1022_05678	tRNA	77				tRNA-Arg(ccg)
WSM1022_05679	CDS	786	frcA_7	7.5.2.-	COG1129	Fructose import ATP-binding protein FrcA
WSM1022_05680	CDS	1356	xylH_2		COG4214	Xylose transport system permease protein XylH
WSM1022_05681	CDS	1038	xylF		COG4213	D-xylose-binding periplasmic protein
WSM1022_05682	CDS	174				hypothetical protein
WSM1022_05683	CDS	1212	nagC_4		COG1940	N-acetylglucosamine repressor
WSM1022_05684	CDS	2151			COG2199	putative signaling protein
WSM1022_05685	CDS	993	idhA	1.1.1.18		Inositol 2-dehydrogenase
WSM1022_05686	CDS	243				hypothetical protein
WSM1022_05687	CDS	453				hypothetical protein
WSM1022_05688	CDS	981	gbpR_2			HTH-type transcriptional regulator GbpR
WSM1022_05689	CDS	1068	chvE		COG4213	Multiple sugar-binding periplasmic receptor ChvE
WSM1022_05690	CDS	1536	xylG_3	7.5.2.10	COG1129	Xylose import ATP-binding protein XylG
WSM1022_05691	CDS	1215	xylH_3		COG4214	Xylose transport system permease protein XylH
WSM1022_05692	CDS	996				hypothetical protein
WSM1022_05693	CDS	1434	aldHT	1.2.1.5		Aldehyde dehydrogenase, thermostable
WSM1022_05694	CDS	1740	araC_3	4.2.1.25		L-arabonate dehydratase
WSM1022_05695	CDS	705				hypothetical protein
WSM1022_05696	CDS	819			COG1305	putative protein
WSM1022_05697	CDS	942				hypothetical protein
WSM1022_05698	CDS	1395			COG2308	putative protein
WSM1022_05699	CDS	921				hypothetical protein
WSM1022_05700	CDS	369				hypothetical protein
WSM1022_05701	CDS	402				hypothetical protein
WSM1022_05702	CDS	1407				hypothetical protein
WSM1022_05703	CDS	3180	cusA		COG3696	Cation efflux system protein CusA
WSM1022_05704	CDS	456				hypothetical protein
WSM1022_05705	CDS	1515	rhlE_2	3.6.4.13		ATP-dependent RNA helicase RhlE
WSM1022_05706	CDS	453				hypothetical protein
WSM1022_05707	CDS	648	mnmC_2		COG0665	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
WSM1022_05708	CDS	1131	mnmC_3	2.1.1.61		tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
